0	18	21	18	13	15	24	22	9	18	18	18	23	23	23	12	12	12	14	14	14	22	22	22	9	9	9	12	12	12	21	21	21	12	12	12	9	9	9	10	10	10	20	20	20	0
18	10000	13	10000	11	20	37	13	24	6	6	6	19	19	19	19	19	19	12	12	12	21	21	21	26	26	26	24	24	24	34	34	34	19	19	19	18	18	18	10	10	10	10	10	10	18
21	13	10000	13	21	13	44	25	29	18	18	18	7	7	7	28	28	28	7	7	7	33	33	33	26	26	26	31	31	31	41	41	41	28	28	28	26	26	26	18	18	18	22	22	22	21
18	10000	13	10000	11	20	37	13	24	6	6	6	19	19	19	19	19	19	12	12	12	21	21	21	26	26	26	24	24	24	34	34	34	19	19	19	18	18	18	10	10	10	10	10	10	18
13	11	21	11	10000	23	27	9	16	8	8	8	26	26	26	9	9	9	16	16	16	13	13	13	21	21	21	14	14	14	24	24	24	9	9	9	9	9	9	5	5	5	8	8	8	13
15	20	13	20	23	10000	39	30	23	24	24	24	11	11	11	26	26	26	9	9	9	34	34	34	16	16	16	27	27	27	36	36	36	26	26	26	23	23	23	19	19	19	27	27	27	15
24	37	44	37	27	39	10000	32	16	34	34	34	47	47	47	19	19	19	37	37	37	23	23	23	24	24	24	14	14	14	4	4	4	19	19	19	19	19	19	28	28	28	32	32	32	24
22	13	25	13	9	30	32	10000	23	7	7	7	31	31	31	15	15	15	23	23	23	10	10	10	30	30	30	20	20	20	29	29	29	15	15	15	16	16	16	13	13	13	4	4	4	22
9	24	29	24	16	23	16	23	10000	22	22	22	31	31	31	9	9	9	22	22	22	20	20	20	11	11	11	5	5	5	13	13	13	9	9	9	8	8	8	14	14	14	22	22	22	9
18	6	18	6	8	24	34	7	22	10000	10000	10000	24	24	24	16	16	16	16	16	16	16	16	16	27	27	27	21	21	21	31	31	31	16	16	16	16	16	16	9	9	9	4	4	4	18
18	6	18	6	8	24	34	7	22	10000	10000	10000	24	24	24	16	16	16	16	16	16	16	16	16	27	27	27	21	21	21	31	31	31	16	16	16	16	16	16	9	9	9	4	4	4	18
18	6	18	6	8	24	34	7	22	10000	10000	10000	24	24	24	16	16	16	16	16	16	16	16	16	27	27	27	21	21	21	31	31	31	16	16	16	16	16	16	9	9	9	4	4	4	18
23	19	7	19	26	11	47	31	31	24	24	24	10000	10000	10000	31	31	31	10	10	10	38	38	38	26	26	26	34	34	34	44	44	44	31	31	31	29	29	29	22	22	22	28	28	28	23
23	19	7	19	26	11	47	31	31	24	24	24	10000	10000	10000	31	31	31	10	10	10	38	38	38	26	26	26	34	34	34	44	44	44	31	31	31	29	29	29	22	22	22	28	28	28	23
23	19	7	19	26	11	47	31	31	24	24	24	10000	10000	10000	31	31	31	10	10	10	38	38	38	26	26	26	34	34	34	44	44	44	31	31	31	29	29	29	22	22	22	28	28	28	23
12	19	28	19	9	26	19	15	9	16	16	16	31	31	31	10000	10000	10000	22	22	22	11	11	11	18	18	18	6	6	6	15	15	15	10000	10000	10000	3	3	3	10	10	10	15	15	15	12
12	19	28	19	9	26	19	15	9	16	16	16	31	31	31	10000	10000	10000	22	22	22	11	11	11	18	18	18	6	6	6	15	15	15	10000	10000	10000	3	3	3	10	10	10	15	15	15	12
12	19	28	19	9	26	19	15	9	16	16	16	31	31	31	10000	10000	10000	22	22	22	11	11	11	18	18	18	6	6	6	15	15	15	10000	10000	10000	3	3	3	10	10	10	15	15	15	12
14	12	7	12	16	9	37	23	22	16	16	16	10	10	10	22	22	22	10000	10000	10000	28	28	28	19	19	19	24	24	24	34	34	34	22	22	22	20	20	20	12	12	12	19	19	19	14
14	12	7	12	16	9	37	23	22	16	16	16	10	10	10	22	22	22	10000	10000	10000	28	28	28	19	19	19	24	24	24	34	34	34	22	22	22	20	20	20	12	12	12	19	19	19	14
14	12	7	12	16	9	37	23	22	16	16	16	10	10	10	22	22	22	10000	10000	10000	28	28	28	19	19	19	24	24	24	34	34	34	22	22	22	20	20	20	12	12	12	19	19	19	14
22	21	33	21	13	34	23	10	20	16	16	16	38	38	38	11	11	11	28	28	28	10000	10000	10000	29	29	29	15	15	15	21	21	21	11	11	11	14	14	14	17	17	17	13	13	13	22
22	21	33	21	13	34	23	10	20	16	16	16	38	38	38	11	11	11	28	28	28	10000	10000	10000	29	29	29	15	15	15	21	21	21	11	11	11	14	14	14	17	17	17	13	13	13	22
22	21	33	21	13	34	23	10	20	16	16	16	38	38	38	11	11	11	28	28	28	10000	10000	10000	29	29	29	15	15	15	21	21	21	11	11	11	14	14	14	17	17	17	13	13	13	22
9	26	26	26	21	16	24	30	11	27	27	27	26	26	26	18	18	18	19	19	19	29	29	29	10000	10000	10000	16	16	16	22	22	22	18	18	18	16	16	16	18	18	18	28	28	28	9
9	26	26	26	21	16	24	30	11	27	27	27	26	26	26	18	18	18	19	19	19	29	29	29	10000	10000	10000	16	16	16	22	22	22	18	18	18	16	16	16	18	18	18	28	28	28	9
9	26	26	26	21	16	24	30	11	27	27	27	26	26	26	18	18	18	19	19	19	29	29	29	10000	10000	10000	16	16	16	22	22	22	18	18	18	16	16	16	18	18	18	28	28	28	9
12	24	31	24	14	27	14	20	5	21	21	21	34	34	34	6	6	6	24	24	24	15	15	15	16	16	16	10000	10000	10000	11	11	11	6	6	6	6	6	6	14	14	14	20	20	20	12
12	24	31	24	14	27	14	20	5	21	21	21	34	34	34	6	6	6	24	24	24	15	15	15	16	16	16	10000	10000	10000	11	11	11	6	6	6	6	6	6	14	14	14	20	20	20	12
12	24	31	24	14	27	14	20	5	21	21	21	34	34	34	6	6	6	24	24	24	15	15	15	16	16	16	10000	10000	10000	11	11	11	6	6	6	6	6	6	14	14	14	20	20	20	12
21	34	41	34	24	36	4	29	13	31	31	31	44	44	44	15	15	15	34	34	34	21	21	21	22	22	22	11	11	11	10000	10000	10000	15	15	15	16	16	16	25	25	25	29	29	29	21
21	34	41	34	24	36	4	29	13	31	31	31	44	44	44	15	15	15	34	34	34	21	21	21	22	22	22	11	11	11	10000	10000	10000	15	15	15	16	16	16	25	25	25	29	29	29	21
21	34	41	34	24	36	4	29	13	31	31	31	44	44	44	15	15	15	34	34	34	21	21	21	22	22	22	11	11	11	10000	10000	10000	15	15	15	16	16	16	25	25	25	29	29	29	21
12	19	28	19	9	26	19	15	9	16	16	16	31	31	31	10000	10000	10000	22	22	22	11	11	11	18	18	18	6	6	6	15	15	15	10000	10000	10000	3	3	3	10	10	10	15	15	15	12
12	19	28	19	9	26	19	15	9	16	16	16	31	31	31	10000	10000	10000	22	22	22	11	11	11	18	18	18	6	6	6	15	15	15	10000	10000	10000	3	3	3	10	10	10	15	15	15	12
12	19	28	19	9	26	19	15	9	16	16	16	31	31	31	10000	10000	10000	22	22	22	11	11	11	18	18	18	6	6	6	15	15	15	10000	10000	10000	3	3	3	10	10	10	15	15	15	12
9	18	26	18	9	23	19	16	8	16	16	16	29	29	29	3	3	3	20	20	20	14	14	14	16	16	16	6	6	6	16	16	16	3	3	3	10000	10000	10000	9	9	9	15	15	15	9
9	18	26	18	9	23	19	16	8	16	16	16	29	29	29	3	3	3	20	20	20	14	14	14	16	16	16	6	6	6	16	16	16	3	3	3	10000	10000	10000	9	9	9	15	15	15	9
9	18	26	18	9	23	19	16	8	16	16	16	29	29	29	3	3	3	20	20	20	14	14	14	16	16	16	6	6	6	16	16	16	3	3	3	10000	10000	10000	9	9	9	15	15	15	9
10	10	18	10	5	19	28	13	14	9	9	9	22	22	22	10	10	10	12	12	12	17	17	17	18	18	18	14	14	14	25	25	25	10	10	10	9	9	9	10000	10000	10000	11	11	11	10
10	10	18	10	5	19	28	13	14	9	9	9	22	22	22	10	10	10	12	12	12	17	17	17	18	18	18	14	14	14	25	25	25	10	10	10	9	9	9	10000	10000	10000	11	11	11	10
10	10	18	10	5	19	28	13	14	9	9	9	22	22	22	10	10	10	12	12	12	17	17	17	18	18	18	14	14	14	25	25	25	10	10	10	9	9	9	10000	10000	10000	11	11	11	10
20	10	22	10	8	27	32	4	22	4	4	4	28	28	28	15	15	15	19	19	19	13	13	13	28	28	28	20	20	20	29	29	29	15	15	15	15	15	15	11	11	11	10000	10000	10000	20
20	10	22	10	8	27	32	4	22	4	4	4	28	28	28	15	15	15	19	19	19	13	13	13	28	28	28	20	20	20	29	29	29	15	15	15	15	15	15	11	11	11	10000	10000	10000	20
20	10	22	10	8	27	32	4	22	4	4	4	28	28	28	15	15	15	19	19	19	13	13	13	28	28	28	20	20	20	29	29	29	15	15	15	15	15	15	11	11	11	10000	10000	10000	20
0	18	21	18	13	15	24	22	9	18	18	18	23	23	23	12	12	12	14	14	14	22	22	22	9	9	9	12	12	12	21	21	21	12	12	12	9	9	9	10	10	10	20	20	20	0
