0	23	19	25	17	25	12	17	13	22	12	23	10	19	25	13	13	13	21	21	21	20	20	20	15	15	15	24	24	24	25	25	25	23	23	23	22	22	22	21	21	21	19	19	19	18	18	18	17	17	17	19	19	19	4	4	4	15	15	15	13	13	13	19	19	19	14	14	14	11	11	11	8	8	8	21	21	21	20	20	20	12	12	12	19	19	19	16	16	16	5	5	5	0
23	10000	10	41	9	46	26	9	32	42	21	10000	24	28	41	11	11	11	28	28	28	42	42	42	29	29	29	32	32	32	47	47	47	9	9	9	45	45	45	28	28	28	35	35	35	21	21	21	33	33	33	15	15	15	26	26	26	32	32	32	34	34	34	4	4	4	23	23	23	33	33	33	20	20	20	41	41	41	36	36	36	27	27	27	41	41	41	13	13	13	23	23	23	23
19	10	10000	42	3	40	18	3	31	35	23	10	16	31	42	14	14	14	19	19	19	36	36	36	21	21	21	23	23	23	42	42	42	18	18	18	40	40	40	19	19	19	26	26	26	25	25	25	33	33	33	21	21	21	22	22	22	32	32	32	28	28	28	8	8	8	26	26	26	29	29	29	14	14	14	39	39	39	37	37	37	20	20	20	36	36	36	18	18	18	22	22	22	19
25	41	42	10000	39	33	36	39	14	35	20	41	35	14	10000	30	30	30	45	45	45	30	30	30	38	38	38	48	48	48	28	28	28	36	36	36	24	24	24	45	45	45	40	40	40	22	22	22	9	9	9	27	27	27	25	25	25	11	11	11	29	29	29	39	39	39	18	18	18	23	23	23	32	32	32	13	13	13	6	6	6	35	35	35	28	28	28	28	28	28	21	21	21	25
17	9	3	39	10000	39	17	10000	29	34	20	9	15	29	39	11	11	11	19	19	19	35	35	35	20	20	20	24	24	24	40	40	40	16	16	16	39	39	39	19	19	19	26	26	26	23	23	23	31	31	31	19	19	19	20	20	20	30	30	30	27	27	27	6	6	6	23	23	23	27	27	27	12	12	12	37	37	37	34	34	34	19	19	19	34	34	34	15	15	15	19	19	19	17
25	46	40	33	39	10000	23	39	22	7	33	46	24	36	33	37	37	37	29	29	29	5	5	5	21	21	21	29	29	29	6	6	6	47	47	47	9	9	9	29	29	29	18	18	18	40	40	40	28	28	28	42	42	42	21	21	21	26	26	26	13	13	13	43	43	43	34	34	34	15	15	15	27	27	27	20	20	20	29	29	29	21	21	21	6	6	6	39	39	39	27	27	27	25
12	26	18	36	17	23	10000	17	23	18	23	26	3	31	36	21	21	21	9	9	9	20	20	20	4	4	4	12	12	12	26	26	26	30	30	30	26	26	26	9	9	9	10	10	10	29	29	29	28	28	28	28	28	28	12	12	12	26	26	26	12	12	12	22	22	22	26	26	26	16	16	16	8	8	8	29	29	29	31	31	31	3	3	3	20	20	20	24	24	24	17	17	17	12
17	9	3	39	10000	39	17	10000	29	34	20	9	15	29	39	11	11	11	19	19	19	35	35	35	20	20	20	24	24	24	40	40	40	16	16	16	39	39	39	19	19	19	26	26	26	23	23	23	31	31	31	19	19	19	20	20	20	30	30	30	27	27	27	6	6	6	23	23	23	27	27	27	12	12	12	37	37	37	34	34	34	19	19	19	34	34	34	15	15	15	19	19	19	17
13	32	31	14	29	22	23	29	10000	23	13	32	21	14	14	22	22	22	32	32	32	19	19	19	24	24	24	34	34	34	20	20	20	30	30	30	16	16	16	32	32	32	27	27	27	19	19	19	7	7	7	23	23	23	11	11	11	5	5	5	16	16	16	30	30	30	13	13	13	10	10	10	20	20	20	9	9	9	9	9	9	21	21	21	17	17	17	22	22	22	10	10	10	13
22	42	35	35	34	7	18	34	23	10000	32	42	19	36	35	34	34	34	23	23	23	6	6	6	16	16	16	23	23	23	11	11	11	44	44	44	14	14	14	23	23	23	12	12	12	38	38	38	29	29	29	40	40	40	19	19	19	27	27	27	9	9	9	38	38	38	33	33	33	14	14	14	23	23	23	23	23	23	30	30	30	16	16	16	8	8	8	37	37	37	25	25	25	22
12	21	23	20	20	33	23	20	13	32	10000	21	21	9	20	11	11	11	31	31	31	29	29	29	26	26	26	35	35	35	32	32	32	18	18	18	28	28	28	31	31	31	31	31	31	7	7	7	12	12	12	10	10	10	14	14	14	12	12	12	23	23	23	19	19	19	3	3	3	19	19	19	17	17	17	22	22	22	16	16	16	23	23	23	27	27	27	9	9	9	7	7	7	12
23	10000	10	41	9	46	26	9	32	42	21	10000	24	28	41	11	11	11	28	28	28	42	42	42	29	29	29	32	32	32	47	47	47	9	9	9	45	45	45	28	28	28	35	35	35	21	21	21	33	33	33	15	15	15	26	26	26	32	32	32	34	34	34	4	4	4	23	23	23	33	33	33	20	20	20	41	41	41	36	36	36	27	27	27	41	41	41	13	13	13	23	23	23	23
10	24	16	35	15	24	3	15	21	19	21	24	10000	28	35	18	18	18	11	11	11	21	21	21	6	6	6	15	15	15	26	26	26	28	28	28	26	26	26	11	11	11	12	12	12	27	27	27	26	26	26	26	26	26	11	11	11	24	24	24	12	12	12	20	20	20	23	23	23	15	15	15	5	5	5	28	28	28	29	29	29	4	4	4	21	21	21	22	22	22	15	15	15	10
