0	18	20	23	7	18	20	13	9	19	17	26	13	21	21	21	22	22	22	18	18	18	11	11	11	19	19	19	19	19	19	21	21	21	13	13	13	0
18	10000	23	36	25	35	23	23	22	35	24	19	7	23	23	23	35	35	35	20	20	20	17	17	17	23	23	23	31	31	31	23	23	23	25	25	25	18
20	23	10000	41	22	23	10000	32	28	36	36	40	24	3	3	3	40	40	40	4	4	4	28	28	28	2	2	2	38	38	38	3	3	3	12	12	12	20
23	36	41	10000	20	27	41	14	15	7	15	30	29	43	43	43	2	2	2	40	40	40	19	19	19	40	40	40	6	6	6	43	43	43	32	32	32	23
7	25	22	20	10000	12	22	15	10	15	20	31	20	23	23	23	20	20	20	21	21	21	15	15	15	21	21	21	18	18	18	23	23	23	12	12	12	7
18	35	23	27	12	10000	23	26	22	21	31	43	31	25	25	25	27	27	27	24	24	24	27	27	27	23	23	23	27	27	27	25	25	25	13	13	13	18
20	23	10000	41	22	23	10000	32	28	36	36	40	24	3	3	3	40	40	40	4	4	4	28	28	28	2	2	2	38	38	38	3	3	3	12	12	12	20
13	23	32	14	15	26	32	10000	5	14	6	19	16	33	33	33	13	13	13	30	30	30	6	6	6	31	31	31	9	9	9	33	33	33	25	25	25	13
9	22	28	15	10	22	28	5	10000	13	10	22	15	29	29	29	14	14	14	26	26	26	7	7	7	27	27	27	11	11	11	29	29	29	20	20	20	9
19	35	36	7	15	21	36	14	13	10000	17	32	28	38	38	38	7	7	7	35	35	35	19	19	19	35	35	35	8	8	8	38	38	38	26	26	26	19
17	24	36	15	20	31	36	6	10	17	10000	16	17	37	37	37	14	14	14	34	34	34	8	8	8	35	35	35	10	10	10	37	37	37	30	30	30	17
26	19	40	30	31	43	40	19	22	32	16	10000	16	40	40	40	29	29	29	36	36	36	16	16	16	39	39	39	25	25	25	40	40	40	37	37	37	26
13	7	24	29	20	31	24	16	15	28	17	16	10000	24	24	24	28	28	28	21	21	21	10	10	10	23	23	23	24	24	24	24	24	24	23	23	23	13
21	23	3	43	23	25	3	33	29	38	37	40	24	10000	10000	10000	42	42	42	4	4	4	29	29	29	3	3	3	39	39	39	10000	10000	10000	14	14	14	21
21	23	3	43	23	25	3	33	29	38	37	40	24	10000	10000	10000	42	42	42	4	4	4	29	29	29	3	3	3	39	39	39	10000	10000	10000	14	14	14	21
21	23	3	43	23	25	3	33	29	38	37	40	24	10000	10000	10000	42	42	42	4	4	4	29	29	29	3	3	3	39	39	39	10000	10000	10000	14	14	14	21
