0	23	22	21	18	26	19	7	14	21	12	27	19	3	22	26	17	27	22	15	16	16	16	16	16	16	16	18	18	18	22	22	22	20	20	20	20	20	20	19	19	19	21	21	21	18	18	18	15	15	15	21	21	21	16	16	16	16	16	16	11	11	11	13	13	13	29	29	29	19	19	19	16	16	16	16	16	16	11	11	11	0
23	10000	42	10	33	34	14	25	34	42	23	8	34	21	43	34	12	8	4	34	14	33	33	33	28	28	28	26	26	26	43	43	43	12	12	12	19	19	19	41	41	41	39	39	39	8	8	8	27	27	27	42	42	42	28	28	28	25	25	25	33	33	33	17	17	17	7	7	7	37	37	37	14	14	14	14	14	14	33	33	33	23
22	42	10000	37	14	23	40	18	9	18	31	48	31	23	19	23	33	48	43	24	38	28	28	28	32	32	32	37	37	37	22	22	22	42	42	42	31	31	31	16	16	16	28	28	28	36	36	36	20	20	20	22	22	22	32	32	32	22	22	22	11	11	11	34	34	34	49	49	49	28	28	28	31	31	31	31	31	31	11	11	11	22
21	10	37	10000	26	25	21	20	30	41	26	18	37	19	42	25	5	18	14	35	20	35	35	35	31	31	31	31	31	31	42	42	42	20	20	20	9	9	9	39	39	39	41	41	41	4	4	4	19	19	19	41	41	41	31	31	31	17	17	17	29	29	29	21	21	21	16	16	16	38	38	38	6	6	6	6	6	6	29	29	29	21
18	33	14	26	10000	11	35	11	11	27	29	40	34	17	28	11	22	39	34	27	32	31	31	31	32	32	32	36	36	36	30	30	30	36	36	36	19	19	19	24	24	24	33	33	33	26	26	26	7	7	7	29	29	29	32	32	32	9	9	9	13	13	13	30	30	30	39	39	39	33	33	33	20	20	20	20	20	20	13	13	13	18
26	34	23	25	11	10000	40	19	21	37	37	42	43	24	39	10000	23	42	37	37	38	40	40	40	41	41	41	43	43	43	40	40	40	40	40	40	17	17	17	34	34	34	43	43	43	27	27	27	11	11	11	39	39	39	41	41	41	11	11	11	23	23	23	36	36	36	41	41	41	42	42	42	21	21	21	21	21	21	23	23	23	26
19	14	40	21	35	40	10000	24	32	35	13	12	23	19	35	40	20	12	10	25	3	23	23	23	17	17	17	13	13	13	34	34	34	3	3	3	27	27	27	34	34	34	29	29	29	17	17	17	30	30	30	33	33	33	17	17	17	29	29	29	30	30	30	7	7	7	16	16	16	26	26	26	21	21	21	21	21	21	30	30	30	19
7	25	18	20	11	19	24	10000	10	22	18	31	25	6	24	19	16	30	25	19	22	22	22	22	22	22	22	25	25	25	24	24	24	25	25	25	17	17	17	20	20	20	25	25	25	19	19	19	9	9	9	24	24	24	22	22	22	10	10	10	9	9	9	19	19	19	31	31	31	24	24	24	15	15	15	15	15	15	9	9	9	7
14	34	9	30	11	21	32	10	10000	17	23	40	26	14	18	21	25	40	35	18	29	22	22	22	25	25	25	30	30	30	20	20	20	34	34	34	25	25	25	14	14	14	24	24	24	28	28	28	14	14	14	19	19	19	25	25	25	16	16	16	4	4	4	26	26	26	41	41	41	23	23	23	24	24	24	24	24	24	4	4	4	14
21	42	18	41	27	37	35	22	17	10000	23	46	17	23	2	37	36	45	41	11	32	15	15	15	21	21	21	26	26	26	4	4	4	37	37	37	38	38	38	3	3	3	11	11	11	38	38	38	29	29	29	4	4	4	21	21	21	31	31	31	14	14	14	28	28	28	48	48	48	13	13	13	36	36	36	36	36	36	14	14	14	21
