0	12	12	22	10	20	4	7	10	6	16	14	18	8	15	22	7	14	12	8	12	12	12	6	6	6	5	5	5	11	11	11	11	11	11	8	8	8	5	5	5	5	5	5	13	13	13	13	13	13	18	18	18	16	16	16	10	10	10	12	12	12	15	15	15	11	11	11	7	7	7	8	8	8	12	12	12	17	17	17	19	19	19	0
12	10000	3	33	9	22	14	17	9	6	24	4	8	12	14	33	16	25	10000	19	11	11	11	16	16	16	12	12	12	5	5	5	6	6	6	19	19	19	11	11	11	15	15	15	17	17	17	17	17	17	24	24	24	23	23	23	7	7	7	9	9	9	13	13	13	1	1	1	18	18	18	19	19	19	14	14	14	23	23	23	30	30	30	12
12	3	10000	33	11	20	15	17	11	6	23	6	7	11	13	33	17	25	3	19	10	10	10	17	17	17	13	13	13	7	7	7	4	4	4	19	19	19	10	10	10	15	15	15	16	16	16	16	16	16	22	22	22	24	24	24	6	6	6	11	11	11	15	15	15	2	2	2	17	17	17	19	19	19	15	15	15	22	22	22	30	30	30	12
22	33	33	10000	29	31	19	18	29	27	19	35	39	24	31	10000	18	8	33	14	30	30	30	17	17	17	22	22	22	31	31	31	31	31	31	15	15	15	24	24	24	18	18	18	25	25	25	25	25	25	24	24	24	21	21	21	30	30	30	31	31	31	32	32	32	32	32	32	16	16	16	14	14	14	28	28	28	22	22	22	4	4	4	22
10	9	11	29	10000	27	10	17	10000	8	26	8	16	16	21	29	11	22	9	16	17	17	17	12	12	12	7	7	7	4	4	4	13	13	13	15	15	15	13	13	13	14	14	14	21	21	21	21	21	21	27	27	27	15	15	15	14	14	14	3	3	3	6	6	6	9	9	9	17	17	17	17	17	17	5	5	5	26	26	26	26	26	26	10
20	22	20	31	27	10000	23	17	27	20	13	26	21	13	8	31	25	25	22	21	11	11	11	23	23	23	24	24	24	26	26	26	16	16	16	24	24	24	16	16	16	19	19	19	8	8	8	8	8	8	7	7	7	35	35	35	15	15	15	29	29	29	33	33	33	21	21	21	18	18	18	20	20	20	31	31	31	9	9	9	30	30	30	20
4	14	15	19	10	23	10000	8	10	9	17	16	21	11	18	19	3	12	14	7	16	16	16	3	3	3	4	4	4	12	12	12	14	14	14	5	5	5	8	8	8	5	5	5	15	15	15	15	15	15	20	20	20	13	13	13	14	14	14	12	12	12	15	15	15	14	14	14	8	8	8	7	7	7	11	11	11	19	19	19	16	16	16	4
7	17	17	18	17	17	8	10000	17	12	10	20	22	7	14	18	10	10	17	5	13	13	13	8	8	8	11	11	11	17	17	17	14	14	14	8	8	8	7	7	7	3	3	3	9	9	9	9	9	9	13	13	13	20	20	20	13	13	13	19	19	19	22	22	22	16	16	16	2	2	2	5	5	5	19	19	19	11	11	11	16	16	16	7
10	9	11	29	10000	27	10	17	10000	8	26	8	16	16	21	29	11	22	9	16	17	17	17	12	12	12	7	7	7	4	4	4	13	13	13	15	15	15	13	13	13	14	14	14	21	21	21	21	21	21	27	27	27	15	15	15	14	14	14	3	3	3	6	6	6	9	9	9	17	17	17	17	17	17	5	5	5	26	26	26	26	26	26	10
6	6	6	27	8	20	9	12	8	10000	20	9	12	9	13	27	11	20	6	14	10	10	10	11	11	11	8	8	8	6	6	6	6	6	6	14	14	14	6	6	6	10	10	10	14	14	14	14	14	14	20	20	20	19	19	19	7	7	7	9	9	9	14	14	14	5	5	5	12	12	12	14	14	14	12	12	12	19	19	19	25	25	25	6
