0	12	12	22	4	7	6	16	8	15	22	7	14	12	8	12	12	12	5	5	5	11	11	11	8	8	8	5	5	5	13	13	13	13	13	13	18	18	18	16	16	16	12	12	12	15	15	15	11	11	11	7	7	7	12	12	12	17	17	17	19	19	19	0
12	10000	3	33	14	17	6	24	12	14	33	16	25	10000	19	11	11	11	12	12	12	6	6	6	19	19	19	11	11	11	17	17	17	17	17	17	24	24	24	23	23	23	9	9	9	13	13	13	1	1	1	18	18	18	14	14	14	23	23	23	30	30	30	12
12	3	10000	33	15	17	6	23	11	13	33	17	25	3	19	10	10	10	13	13	13	4	4	4	19	19	19	10	10	10	16	16	16	16	16	16	22	22	22	24	24	24	11	11	11	15	15	15	2	2	2	17	17	17	15	15	15	22	22	22	30	30	30	12
22	33	33	10000	19	18	27	19	24	31	10000	18	8	33	14	30	30	30	22	22	22	31	31	31	15	15	15	24	24	24	25	25	25	25	25	25	24	24	24	21	21	21	31	31	31	32	32	32	32	32	32	16	16	16	28	28	28	22	22	22	4	4	4	22
4	14	15	19	10000	8	9	17	11	18	19	3	12	14	7	16	16	16	4	4	4	14	14	14	5	5	5	8	8	8	15	15	15	15	15	15	20	20	20	13	13	13	12	12	12	15	15	15	14	14	14	8	8	8	11	11	11	19	19	19	16	16	16	4
7	17	17	18	8	10000	12	10	7	14	18	10	10	17	5	13	13	13	11	11	11	14	14	14	8	8	8	7	7	7	9	9	9	9	9	9	13	13	13	20	20	20	19	19	19	22	22	22	16	16	16	2	2	2	19	19	19	11	11	11	16	16	16	7
6	6	6	27	9	12	10000	20	9	13	27	11	20	6	14	10	10	10	8	8	8	6	6	6	14	14	14	6	6	6	14	14	14	14	14	14	20	20	20	19	19	19	9	9	9	14	14	14	5	5	5	12	12	12	12	12	12	19	19	19	25	25	25	6
16	24	23	19	17	10	20	10000	12	15	19	19	15	24	12	16	16	16	20	20	20	20	20	20	16	16	16	14	14	14	9	9	9	9	9	9	6	6	6	28	28	28	27	27	27	31	31	31	23	23	23	10	10	10	28	28	28	4	4	4	19	19	19	16
8	12	11	24	11	7	9	12	10000	8	24	14	17	12	11	6	6	6	12	12	12	8	8	8	13	13	13	3	3	3	6	6	6	6	6	6	12	12	12	23	23	23	17	17	17	21	21	21	12	12	12	9	9	9	19	19	19	11	11	11	23	23	23	8
15	14	13	31	18	14	13	15	8	10000	31	21	24	14	19	4	4	4	19	19	19	9	9	9	21	21	21	10	10	10	7	7	7	7	7	7	12	12	12	31	31	31	22	22	22	26	26	26	14	14	14	16	16	16	25	25	25	13	13	13	30	30	30	15
22	33	33	10000	19	18	27	19	24	31	10000	18	8	33	14	30	30	30	22	22	22	31	31	31	15	15	15	24	24	24	25	25	25	25	25	25	24	24	24	21	21	21	31	31	31	32	32	32	32	32	32	16	16	16	28	28	28	22	22	22	4	4	4	22
