lb_tw,ub_tw,dur,Q1,Q2,Q3,split_rel,split_part,org_id,id,ord_qual,qual_down
0,730,0,1,1,1,0,0,0,1,0,0
0,99,58,0,0,1,0,0,1,2,13,0
305,387,52,0,0,1,0,0,3,3,12,0
485,616,61,0,0,1,0,0,5,4,14,0
135,264,32,0,0,1,0,0,7,5,11,0
179,299,71,1,1,1,0,0,8,6,20,0
297,410,63,1,1,1,0,0,9,7,19,0
385,516,77,1,1,1,0,0,10,8,5,0
0,75,24,1,1,1,0,0,11,9,17,0
2,144,15,1,1,1,0,0,12,10,2,0
493,620,76,1,1,1,0,0,14,11,4,0
654,715,46,1,1,1,0,0,15,12,18,0
0,102,51,0,1,1,0,0,16,13,10,0
305,387,52,0,1,1,0,0,19,14,6,0
399,479,79,1,1,1,0,0,20,15,1,0
56,119,92,1,1,1,1,0,2,16,16,0
56,169,42,1,1,1,1,1,2,17,16,1
56,243,50,1,1,1,1,2,2,18,16,0
393,460,102,0,1,1,1,0,4,19,8,0
393,519,43,0,1,1,1,1,4,20,8,0
393,585,59,0,1,1,1,2,4,21,8,0
0,105,111,0,1,1,1,0,6,22,7,0
0,157,59,0,1,1,1,1,6,23,7,0
0,246,52,0,1,1,1,2,6,24,7,0
393,460,102,0,1,1,1,0,13,25,9,0
393,519,43,0,1,1,1,1,13,26,9,0
393,585,59,0,1,1,1,2,13,27,9,0
86,133,84,0,0,1,1,0,17,28,15,0
86,175,42,1,1,1,1,1,17,29,15,1
86,257,42,0,0,1,1,2,17,30,15,0
176,247,105,1,1,1,1,0,18,31,3,0
176,308,44,1,1,1,1,1,18,32,3,0
176,291,61,1,1,1,1,2,18,33,3,1
0,730,0,1,1,1,0,0,0,34,0,0
