0	19	29	17	12	25	10	19	20	18	11	2	17	24	15	12	17	14	17	8	8	8	3	3	3	22	22	22	11	11	11	21	21	21	20	20	20	23	23	23	22	22	22	22	22	22	17	17	17	17	17	17	23	23	23	0
19	10000	31	32	7	29	27	10000	33	15	17	19	29	27	6	18	35	9	35	24	24	24	17	17	17	5	5	5	24	24	24	38	38	38	39	39	39	8	8	8	40	40	40	24	24	24	36	36	36	15	15	15	8	8	8	19
29	31	10000	22	28	5	37	31	19	42	20	31	45	6	33	18	32	35	32	24	24	24	28	28	28	36	36	36	20	20	20	47	47	47	40	40	40	39	39	39	43	43	43	49	49	49	37	37	37	17	17	17	39	39	39	29
17	32	22	10000	26	18	20	32	5	35	16	19	30	18	30	16	10	30	10	10	10	10	18	18	18	36	36	36	8	8	8	27	27	27	19	19	19	38	38	38	22	22	22	38	38	38	15	15	15	22	22	22	38	38	38	17
12	7	28	26	10000	25	21	7	27	14	11	13	24	24	5	13	29	7	29	17	17	17	10	10	10	10	10	10	18	18	18	32	32	32	32	32	32	13	13	13	33	33	33	22	22	22	29	29	29	12	12	12	13	13	13	12
25	29	5	18	25	10000	33	29	15	38	16	27	41	2	30	14	28	32	28	19	19	19	24	24	24	33	33	33	16	16	16	43	43	43	36	36	36	36	36	36	39	39	39	45	45	45	32	32	32	14	14	14	36	36	36	25
10	27	37	20	21	33	10000	27	24	21	20	9	10	31	22	21	15	20	15	14	14	14	12	12	12	29	29	29	17	17	17	12	12	12	13	13	13	29	29	29	13	13	13	21	21	21	12	12	12	27	27	27	29	29	29	10
19	10000	31	32	7	29	27	10000	33	15	17	19	29	27	6	18	35	9	35	24	24	24	17	17	17	5	5	5	24	24	24	38	38	38	39	39	39	8	8	8	40	40	40	24	24	24	36	36	36	15	15	15	8	8	8	19
20	33	19	5	27	15	24	33	10000	37	17	22	34	15	32	16	14	32	14	12	12	12	21	21	21	37	37	37	10	10	10	31	31	31	23	23	23	40	40	40	26	26	26	41	41	41	19	19	19	22	22	22	40	40	40	20
18	15	42	35	14	38	21	15	37	10000	23	16	18	37	11	25	33	8	33	26	26	26	17	17	17	13	13	13	28	28	28	29	29	29	34	34	34	11	11	11	33	33	33	9	9	9	32	32	32	26	26	26	11	11	11	18
11	17	20	16	11	16	20	17	17	23	10000	12	27	14	16	2	21	17	21	9	9	9	9	9	9	21	21	21	9	9	9	31	31	31	27	27	27	23	23	23	30	30	30	30	30	30	24	24	24	8	8	8	23	23	23	11
2	19	31	19	13	27	9	19	22	16	12	10000	15	26	15	14	18	14	18	10	10	10	4	4	4	21	21	21	13	13	13	20	20	20	20	20	20	22	22	22	21	21	21	20	20	20	18	18	18	19	19	19	22	22	22	2
17	29	45	30	24	41	10	29	34	18	27	15	10000	40	24	28	24	21	24	23	23	23	18	18	18	29	29	29	26	26	26	12	12	12	20	20	20	28	28	28	18	18	18	14	14	14	20	20	20	33	33	33	28	28	28	17
