0	29	17	25	20	18	11	2	17	15	12	17	14	17	22	22	22	20	20	20	23	23	23	22	22	22	17	17	17	17	17	17	23	23	23	0
29	10000	22	5	19	42	20	31	45	33	18	32	35	32	36	36	36	40	40	40	39	39	39	43	43	43	37	37	37	17	17	17	39	39	39	29
17	22	10000	18	5	35	16	19	30	30	16	10	30	10	36	36	36	19	19	19	38	38	38	22	22	22	15	15	15	22	22	22	38	38	38	17
25	5	18	10000	15	38	16	27	41	30	14	28	32	28	33	33	33	36	36	36	36	36	36	39	39	39	32	32	32	14	14	14	36	36	36	25
20	19	5	15	10000	37	17	22	34	32	16	14	32	14	37	37	37	23	23	23	40	40	40	26	26	26	19	19	19	22	22	22	40	40	40	20
18	42	35	38	37	10000	23	16	18	11	25	33	8	33	13	13	13	34	34	34	11	11	11	33	33	33	32	32	32	26	26	26	11	11	11	18
11	20	16	16	17	23	10000	12	27	16	2	21	17	21	21	21	21	27	27	27	23	23	23	30	30	30	24	24	24	8	8	8	23	23	23	11
2	31	19	27	22	16	12	10000	15	15	14	18	14	18	21	21	21	20	20	20	22	22	22	21	21	21	18	18	18	19	19	19	22	22	22	2
17	45	30	41	34	18	27	15	10000	24	28	24	21	24	29	29	29	20	20	20	28	28	28	18	18	18	20	20	20	33	33	33	28	28	28	17
15	33	30	30	32	11	16	15	24	10000	17	32	4	32	7	7	7	35	35	35	8	8	8	35	35	35	32	32	32	16	16	16	8	8	8	15
12	18	16	14	16	25	2	14	28	17	10000	22	19	22	22	22	22	28	28	28	25	25	25	30	30	30	25	25	25	7	7	7	25	25	25	12
17	32	10	28	14	33	21	18	24	32	22	10000	31	10000	38	38	38	9	9	9	39	39	39	13	13	13	6	6	6	28	28	28	39	39	39	17
14	35	30	32	32	8	17	14	21	4	19	31	10000	31	9	9	9	33	33	33	9	9	9	33	33	33	31	31	31	19	19	19	9	9	9	14
17	32	10	28	14	33	21	18	24	32	22	10000	31	10000	38	38	38	9	9	9	39	39	39	13	13	13	6	6	6	28	28	28	39	39	39	17
22	36	36	33	37	13	21	21	29	7	22	38	9	38	10000	10000	10000	41	41	41	4	4	4	42	42	42	38	38	38	19	19	19	4	4	4	22
22	36	36	33	37	13	21	21	29	7	22	38	9	38	10000	10000	10000	41	41	41	4	4	4	42	42	42	38	38	38	19	19	19	4	4	4	22
22	36	36	33	37	13	21	21	29	7	22	38	9	38	10000	10000	10000	41	41	41	4	4	4	42	42	42	38	38	38	19	19	19	4	4	4	22
20	40	19	36	23	34	27	20	20	35	28	9	33	9	41	41	41	10000	10000	10000	41	41	41	4	4	4	4	4	4	35	35	35	41	41	41	20
20	40	19	36	23	34	27	20	20	35	28	9	33	9	41	41	41	10000	10000	10000	41	41	41	4	4	4	4	4	4	35	35	35	41	41	41	20
20	40	19	36	23	34	27	20	20	35	28	9	33	9	41	41	41	10000	10000	10000	41	41	41	4	4	4	4	4	4	35	35	35	41	41	41	20
23	39	38	36	40	11	23	22	28	8	25	39	9	39	4	4	4	41	41	41	10000	10000	10000	42	42	42	39	39	39	22	22	22	10000	10000	10000	23
23	39	38	36	40	11	23	22	28	8	25	39	9	39	4	4	4	41	41	41	10000	10000	10000	42	42	42	39	39	39	22	22	22	10000	10000	10000	23
23	39	38	36	40	11	23	22	28	8	25	39	9	39	4	4	4	41	41	41	10000	10000	10000	42	42	42	39	39	39	22	22	22	10000	10000	10000	23
22	43	22	39	26	33	30	21	18	35	30	13	33	13	42	42	42	4	4	4	42	42	42	10000	10000	10000	8	8	8	37	37	37	42	42	42	22
22	43	22	39	26	33	30	21	18	35	30	13	33	13	42	42	42	4	4	4	42	42	42	10000	10000	10000	8	8	8	37	37	37	42	42	42	22
22	43	22	39	26	33	30	21	18	35	30	13	33	13	42	42	42	4	4	4	42	42	42	10000	10000	10000	8	8	8	37	37	37	42	42	42	22
17	37	15	32	19	32	24	18	20	32	25	6	31	6	38	38	38	4	4	4	39	39	39	8	8	8	10000	10000	10000	31	31	31	39	39	39	17
17	37	15	32	19	32	24	18	20	32	25	6	31	6	38	38	38	4	4	4	39	39	39	8	8	8	10000	10000	10000	31	31	31	39	39	39	17
17	37	15	32	19	32	24	18	20	32	25	6	31	6	38	38	38	4	4	4	39	39	39	8	8	8	10000	10000	10000	31	31	31	39	39	39	17
17	17	22	14	22	26	8	19	33	16	7	28	19	28	19	19	19	35	35	35	22	22	22	37	37	37	31	31	31	10000	10000	10000	22	22	22	17
17	17	22	14	22	26	8	19	33	16	7	28	19	28	19	19	19	35	35	35	22	22	22	37	37	37	31	31	31	10000	10000	10000	22	22	22	17
17	17	22	14	22	26	8	19	33	16	7	28	19	28	19	19	19	35	35	35	22	22	22	37	37	37	31	31	31	10000	10000	10000	22	22	22	17
23	39	38	36	40	11	23	22	28	8	25	39	9	39	4	4	4	41	41	41	10000	10000	10000	42	42	42	39	39	39	22	22	22	10000	10000	10000	23
23	39	38	36	40	11	23	22	28	8	25	39	9	39	4	4	4	41	41	41	10000	10000	10000	42	42	42	39	39	39	22	22	22	10000	10000	10000	23
23	39	38	36	40	11	23	22	28	8	25	39	9	39	4	4	4	41	41	41	10000	10000	10000	42	42	42	39	39	39	22	22	22	10000	10000	10000	23
0	29	17	25	20	18	11	2	17	15	12	17	14	17	22	22	22	20	20	20	23	23	23	22	22	22	17	17	17	17	17	17	23	23	23	0
