lb_tw,ub_tw,dur,Q1,Q2,Q3,split_rel,split_part,org_id,id,ord_qual,qual_down
0,695,0,1,1,1,0,0,0,1,0,0
284,378,37,1,1,1,0,0,2,2,2,0
339,497,32,0,0,1,0,0,3,3,13,0
536,684,72,0,1,1,0,0,5,4,10,0
0,29,75,1,1,1,0,0,6,5,1,0
38,136,49,0,1,1,0,0,7,6,7,0
339,497,32,0,1,1,0,0,8,7,6,0
566,667,37,1,1,1,0,0,10,8,5,0
0,88,25,0,0,1,0,0,11,9,14,0
97,206,47,0,0,1,0,0,13,10,20,0
0,72,63,0,0,1,0,0,16,11,11,0
4,172,52,0,0,1,0,0,17,12,15,0
270,400,69,0,0,1,0,0,19,13,18,0
170,288,139,1,1,1,1,0,1,14,4,0
170,337,90,1,1,1,1,1,1,15,4,0
170,358,69,1,1,1,1,2,1,16,4,1
447,560,102,1,1,1,1,0,4,17,3,0
447,589,73,1,1,1,1,1,4,18,3,0
447,691,49,1,1,1,1,2,4,19,3,1
358,549,107,0,1,1,1,0,9,20,9,0
358,610,46,1,1,1,1,1,9,21,9,1
358,693,41,0,1,1,1,2,9,22,9,0
0,107,88,0,1,1,1,0,12,23,8,0
0,150,45,1,1,1,1,1,12,24,8,1
0,230,43,0,1,1,1,2,12,25,8,0
165,333,118,0,0,1,1,0,14,26,17,0
165,407,44,0,0,1,1,1,14,27,17,0
165,475,54,1,1,1,1,2,14,28,17,1
355,419,131,0,0,1,1,0,15,29,16,0
355,470,80,1,1,1,1,1,15,30,16,1
355,577,51,0,0,1,1,2,15,31,16,0
170,288,139,0,0,1,1,0,18,32,19,0
170,337,90,1,1,1,1,1,18,33,19,1
170,358,69,0,0,1,1,2,18,34,19,0
413,492,98,0,0,1,1,0,20,35,12,0
413,521,69,0,0,1,1,1,20,36,12,0
413,619,49,1,1,1,1,2,20,37,12,1
0,695,0,1,1,1,0,0,0,38,0,0
