0	15	23	24	14	16	21	17	15	13	22	9	23	27	27	27	13	13	13	20	20	20	25	25	25	27	27	27	21	21	21	13	13	13	24	24	24	18	18	18	20	20	20	16	16	16	14	14	14	7	7	7	13	13	13	19	19	19	21	21	21	11	11	11	15	15	15	12	12	12	17	17	17	28	28	28	13	13	13	3	3	3	21	21	21	27	27	27	27	27	27	22	22	22	18	18	18	0
15	10000	18	32	3	4	25	25	10000	27	26	9	18	27	27	27	16	16	16	12	12	12	39	39	39	41	41	41	21	21	21	9	9	9	33	33	33	11	11	11	31	31	31	30	30	30	13	13	13	17	17	17	12	12	12	31	31	31	35	35	35	16	16	16	20	20	20	26	26	26	22	22	22	36	36	36	20	20	20	14	14	14	29	29	29	27	27	27	41	41	41	28	28	28	29	29	29	15
23	18	10000	46	16	22	14	38	18	34	42	22	10000	11	11	11	12	12	12	30	30	30	38	38	38	40	40	40	38	38	38	11	11	11	46	46	46	29	29	29	43	43	43	34	34	34	29	29	29	29	29	29	11	11	11	29	29	29	41	41	41	13	13	13	35	35	35	32	32	32	37	37	37	50	50	50	34	34	34	24	24	24	43	43	43	11	11	11	40	40	40	43	43	43	40	40	40	23
24	32	46	10000	33	30	43	8	32	18	10	25	46	50	50	50	36	36	36	27	27	27	34	34	34	35	35	35	17	17	17	35	35	35	1	1	1	25	25	25	5	5	5	24	24	24	21	21	21	18	18	18	36	36	36	34	34	34	20	20	20	34	34	34	13	13	13	20	20	20	11	11	11	5	5	5	13	13	13	22	22	22	5	5	5	50	50	50	35	35	35	7	7	7	8	8	8	24
14	3	16	33	10000	7	22	26	3	27	28	9	16	25	25	25	14	14	14	15	15	15	38	38	38	39	39	39	23	23	23	6	6	6	34	34	34	14	14	14	31	31	31	29	29	29	14	14	14	17	17	17	9	9	9	29	29	29	35	35	35	13	13	13	21	21	21	26	26	26	23	23	23	37	37	37	21	21	21	14	14	14	30	30	30	25	25	25	39	39	39	29	29	29	29	29	29	14
16	4	22	30	7	10000	28	23	4	27	23	8	22	31	31	31	19	19	19	9	9	9	40	40	40	42	42	42	18	18	18	12	12	12	31	31	31	8	8	8	29	29	29	31	31	31	10	10	10	16	16	16	15	15	15	33	33	33	35	35	35	18	18	18	17	17	17	26	26	26	19	19	19	33	33	33	18	18	18	14	14	14	26	26	26	31	31	31	42	42	42	26	26	26	27	27	27	16
21	25	14	43	22	28	10000	37	25	27	42	25	14	8	8	8	10	10	10	36	36	36	27	27	27	28	28	28	40	40	40	16	16	16	44	44	44	34	34	34	39	39	39	25	25	25	32	32	32	27	27	27	14	14	14	18	18	18	33	33	33	11	11	11	35	35	35	25	25	25	37	37	37	48	48	48	33	33	33	22	22	22	41	41	41	8	8	8	28	28	28	42	42	42	36	36	36	21
17	25	38	8	26	23	37	10000	25	15	7	17	38	43	43	43	29	29	29	20	20	20	32	32	32	33	33	33	13	13	13	28	28	28	9	9	9	18	18	18	7	7	7	21	21	21	14	14	14	10	10	10	28	28	28	29	29	29	20	20	20	27	27	27	6	6	6	16	16	16	5	5	5	12	12	12	5	5	5	15	15	15	5	5	5	43	43	43	33	33	33	7	7	7	7	7	7	17
15	10000	18	32	3	4	25	25	10000	27	26	9	18	27	27	27	16	16	16	12	12	12	39	39	39	41	41	41	21	21	21	9	9	9	33	33	33	11	11	11	31	31	31	30	30	30	13	13	13	17	17	17	12	12	12	31	31	31	35	35	35	16	16	16	20	20	20	26	26	26	22	22	22	36	36	36	20	20	20	14	14	14	29	29	29	27	27	27	41	41	41	28	28	28	29	29	29	15
13	27	34	18	27	27	27	15	27	10000	22	20	34	35	35	35	23	23	23	29	29	29	18	18	18	19	19	19	26	26	26	26	26	26	19	19	19	27	27	27	14	14	14	6	6	6	22	22	22	12	12	12	25	25	25	16	16	16	8	8	8	21	21	21	18	18	18	2	2	2	18	18	18	23	23	23	15	15	15	14	14	14	19	19	19	35	35	35	19	19	19	21	21	21	11	11	11	13
