lb_tw,ub_tw,dur,Q1,Q2,Q3,split_rel,split_part,org_id,id,ord_qual,qual_down
0,702,0,1,1,1,0,0,0,1,0,0
68,208,58,0,0,1,0,0,1,2,12,0
384,451,58,1,1,1,0,0,4,3,19,0
68,208,58,1,1,1,0,0,7,4,4,0
428,553,65,1,1,1,0,0,10,5,5,0
82,205,69,0,1,1,0,0,12,6,9,0
534,703,49,1,1,1,0,0,15,7,18,0
125,236,61,0,1,1,0,0,18,8,10,0
260,328,74,0,1,1,0,0,19,9,6,0
129,261,98,0,1,1,1,0,2,10,7,0
129,319,40,0,1,1,1,1,2,11,7,0
129,379,58,1,1,1,1,2,2,12,7,1
296,417,99,1,1,1,1,0,3,13,20,0
296,476,40,1,1,1,1,1,3,14,20,1
296,555,39,1,1,1,1,2,3,15,20,0
448,580,93,0,0,1,1,0,5,16,15,0
448,621,52,0,0,1,1,1,5,17,15,0
448,632,41,0,0,1,1,2,5,18,15,0
0,92,101,1,1,1,1,0,6,19,1,0
0,138,55,1,1,1,1,1,6,20,1,0
0,127,66,1,1,1,1,2,6,21,1,1
140,261,121,1,1,1,1,0,8,22,2,0
140,324,58,1,1,1,1,1,8,23,2,1
140,417,43,1,1,1,1,2,8,24,2,0
340,410,88,1,1,1,1,0,9,25,17,0
340,453,45,1,1,1,1,1,9,26,17,0
340,533,43,1,1,1,1,2,9,27,17,1
0,108,94,0,0,1,1,0,11,28,11,0
0,153,49,1,1,1,1,1,11,29,11,1
0,235,45,0,0,1,1,2,11,30,11,0
158,299,105,1,1,1,1,0,13,31,3,0
158,345,59,1,1,1,1,1,13,32,3,1
158,338,66,1,1,1,1,2,13,33,3,0
448,580,93,1,1,1,1,0,14,34,16,0
448,621,52,1,1,1,1,1,14,35,16,0
448,632,41,1,1,1,1,2,14,36,16,0
0,80,78,0,0,1,1,0,16,37,13,0
0,119,39,1,1,1,1,1,16,38,13,1
0,197,39,0,0,1,1,2,16,39,13,0
6,190,85,0,0,1,1,0,17,40,14,0
6,230,45,0,0,1,1,1,17,41,14,0
6,313,40,0,0,1,1,2,17,42,14,0
336,458,112,0,1,1,1,0,20,43,8,0
336,517,53,0,1,1,1,1,20,44,8,0
336,589,59,1,1,1,1,2,20,45,8,1
0,702,0,1,1,1,0,0,0,46,0,0
