0	11	12	15	27	23	21	21	21	21	21	21	21	15	15	15	19	19	19	25	25	25	22	22	22	20	20	20	20	20	20	11	11	11	15	15	15	20	20	20	20	20	20	4	4	4	15	15	15	0
11	10000	23	6	37	21	25	28	28	28	30	30	30	17	17	17	29	29	29	23	23	23	17	17	17	16	16	16	31	31	31	12	12	12	6	6	6	23	23	23	31	31	31	14	14	14	6	6	6	11
12	23	10000	26	18	32	24	16	16	16	11	11	11	19	19	19	12	12	12	33	33	33	29	29	29	30	30	30	9	9	9	20	20	20	27	27	27	25	25	25	9	9	9	11	11	11	27	27	27	12
15	6	26	10000	39	17	24	32	32	32	34	34	34	22	22	22	31	31	31	20	20	20	21	21	21	12	12	12	34	34	34	11	11	11	1	1	1	21	21	21	34	34	34	16	16	16	1	1	1	15
27	37	18	39	10000	37	24	31	31	31	24	24	24	36	36	36	8	8	8	37	37	37	46	46	46	38	38	38	11	11	11	29	29	29	39	39	39	27	27	27	11	11	11	24	24	24	39	39	39	27
23	21	32	17	37	10000	14	44	44	44	43	43	43	36	36	36	31	31	31	3	3	3	38	38	38	6	6	6	36	36	36	13	13	13	17	17	17	11	11	11	36	36	36	22	22	22	17	17	17	23
21	25	24	24	24	14	10000	39	39	39	35	35	35	35	35	35	19	19	19	14	14	14	40	40	40	17	17	17	26	26	26	13	13	13	24	24	24	4	4	4	26	26	26	18	18	18	24	24	24	21
21	28	16	32	31	44	39	10000	10000	10000	9	9	9	13	13	13	27	27	27	45	45	45	24	24	24	41	41	41	21	21	21	31	31	31	33	33	33	39	39	39	21	21	21	23	23	23	33	33	33	21
21	28	16	32	31	44	39	10000	10000	10000	9	9	9	13	13	13	27	27	27	45	45	45	24	24	24	41	41	41	21	21	21	31	31	31	33	33	33	39	39	39	21	21	21	23	23	23	33	33	33	21
21	28	16	32	31	44	39	10000	10000	10000	9	9	9	13	13	13	27	27	27	45	45	45	24	24	24	41	41	41	21	21	21	31	31	31	33	33	33	39	39	39	21	21	21	23	23	23	33	33	33	21
21	30	11	34	24	43	35	9	9	9	10000	10000	10000	19	19	19	20	20	20	44	44	44	30	30	30	40	40	40	14	14	14	30	30	30	35	35	35	36	36	36	14	14	14	21	21	21	35	35	35	21
21	30	11	34	24	43	35	9	9	9	10000	10000	10000	19	19	19	20	20	20	44	44	44	30	30	30	40	40	40	14	14	14	30	30	30	35	35	35	36	36	36	14	14	14	21	21	21	35	35	35	21
21	30	11	34	24	43	35	9	9	9	10000	10000	10000	19	19	19	20	20	20	44	44	44	30	30	30	40	40	40	14	14	14	30	30	30	35	35	35	36	36	36	14	14	14	21	21	21	35	35	35	21
15	17	19	22	36	36	35	13	13	13	19	19	19	10000	10000	10000	29	29	29	38	38	38	12	12	12	32	32	32	27	27	27	24	24	24	22	22	22	34	34	34	27	27	27	18	18	18	22	22	22	15
15	17	19	22	36	36	35	13	13	13	19	19	19	10000	10000	10000	29	29	29	38	38	38	12	12	12	32	32	32	27	27	27	24	24	24	22	22	22	34	34	34	27	27	27	18	18	18	22	22	22	15
15	17	19	22	36	36	35	13	13	13	19	19	19	10000	10000	10000	29	29	29	38	38	38	12	12	12	32	32	32	27	27	27	24	24	24	22	22	22	34	34	34	27	27	27	18	18	18	22	22	22	15
19	29	12	31	8	31	19	27	27	27	20	20	20	29	29	29	10000	10000	10000	31	31	31	39	39	39	31	31	31	8	8	8	22	22	22	31	31	31	21	21	21	8	8	8	16	16	16	31	31	31	19
19	29	12	31	8	31	19	27	27	27	20	20	20	29	29	29	10000	10000	10000	31	31	31	39	39	39	31	31	31	8	8	8	22	22	22	31	31	31	21	21	21	8	8	8	16	16	16	31	31	31	19
19	29	12	31	8	31	19	27	27	27	20	20	20	29	29	29	10000	10000	10000	31	31	31	39	39	39	31	31	31	8	8	8	22	22	22	31	31	31	21	21	21	8	8	8	16	16	16	31	31	31	19
25	23	33	20	37	3	14	45	45	45	44	44	44	38	38	38	31	31	31	10000	10000	10000	40	40	40	8	8	8	37	37	37	15	15	15	19	19	19	10	10	10	37	37	37	24	24	24	19	19	19	25
25	23	33	20	37	3	14	45	45	45	44	44	44	38	38	38	31	31	31	10000	10000	10000	40	40	40	8	8	8	37	37	37	15	15	15	19	19	19	10	10	10	37	37	37	24	24	24	19	19	19	25
