0	23	22	26	19	14	21	12	27	3	22	26	17	27	22	16	16	16	16	22	22	22	20	20	20	20	20	20	19	19	19	21	21	21	15	15	15	21	21	21	16	16	16	11	11	11	29	29	29	19	19	19	16	16	16	16	16	16	11	11	11	0
23	10000	42	34	14	34	42	23	8	21	43	34	12	8	4	14	33	33	33	43	43	43	12	12	12	19	19	19	41	41	41	39	39	39	27	27	27	42	42	42	25	25	25	33	33	33	7	7	7	37	37	37	14	14	14	14	14	14	33	33	33	23
22	42	10000	23	40	9	18	31	48	23	19	23	33	48	43	38	28	28	28	22	22	22	42	42	42	31	31	31	16	16	16	28	28	28	20	20	20	22	22	22	22	22	22	11	11	11	49	49	49	28	28	28	31	31	31	31	31	31	11	11	11	22
26	34	23	10000	40	21	37	37	42	24	39	10000	23	42	37	38	40	40	40	40	40	40	40	40	40	17	17	17	34	34	34	43	43	43	11	11	11	39	39	39	11	11	11	23	23	23	41	41	41	42	42	42	21	21	21	21	21	21	23	23	23	26
19	14	40	40	10000	32	35	13	12	19	35	40	20	12	10	3	23	23	23	34	34	34	3	3	3	27	27	27	34	34	34	29	29	29	30	30	30	33	33	33	29	29	29	30	30	30	16	16	16	26	26	26	21	21	21	21	21	21	30	30	30	19
14	34	9	21	32	10000	17	23	40	14	18	21	25	40	35	29	22	22	22	20	20	20	34	34	34	25	25	25	14	14	14	24	24	24	14	14	14	19	19	19	16	16	16	4	4	4	41	41	41	23	23	23	24	24	24	24	24	24	4	4	4	14
21	42	18	37	35	17	10000	23	46	23	2	37	36	45	41	32	15	15	15	4	4	4	37	37	37	38	38	38	3	3	3	11	11	11	29	29	29	4	4	4	31	31	31	14	14	14	48	48	48	13	13	13	36	36	36	36	36	36	14	14	14	21
12	23	31	37	13	23	23	10000	24	13	23	37	23	24	21	10	11	11	11	22	22	22	15	15	15	28	28	28	22	22	22	17	17	17	26	26	26	21	21	21	27	27	27	20	20	20	27	27	27	14	14	14	23	23	23	23	23	23	20	20	20	12
27	8	48	42	12	40	46	24	10000	26	46	42	20	1	6	14	34	34	34	45	45	45	10	10	10	26	26	26	44	44	44	41	41	41	34	34	34	44	44	44	33	33	33	38	38	38	5	5	5	38	38	38	22	22	22	22	22	22	38	38	38	27
3	21	23	24	19	14	23	13	26	10000	24	24	14	26	21	16	19	19	19	24	24	24	20	20	20	17	17	17	21	21	21	24	24	24	13	13	13	23	23	23	14	14	14	12	12	12	27	27	27	22	22	22	14	14	14	14	14	14	12	12	12	3
22	43	19	39	35	18	2	23	46	24	10000	39	38	46	42	33	15	15	15	3	3	3	38	38	38	40	40	40	5	5	5	11	11	11	31	31	31	4	4	4	33	33	33	16	16	16	49	49	49	13	13	13	37	37	37	37	37	37	16	16	16	22
26	34	23	10000	40	21	37	37	42	24	39	10000	23	42	37	38	40	40	40	40	40	40	40	40	40	17	17	17	34	34	34	43	43	43	11	11	11	39	39	39	11	11	11	23	23	23	41	41	41	42	42	42	21	21	21	21	21	21	23	23	23	26
17	12	33	23	20	25	36	23	20	14	38	23	10000	19	15	19	31	31	31	38	38	38	20	20	20	8	8	8	34	34	34	37	37	37	15	15	15	37	37	37	14	14	14	25	25	25	19	19	19	34	34	34	2	2	2	2	2	2	25	25	25	17
27	8	48	42	12	40	45	24	1	26	46	42	19	10000	5	14	34	34	34	45	45	45	10	10	10	26	26	26	44	44	44	41	41	41	33	33	33	44	44	44	32	32	32	38	38	38	5	5	5	38	38	38	21	21	21	21	21	21	38	38	38	27
22	4	43	37	10	35	41	21	6	21	42	37	15	5	10000	11	31	31	31	41	41	41	9	9	9	22	22	22	40	40	40	37	37	37	28	28	28	40	40	40	27	27	27	33	33	33	7	7	7	35	35	35	17	17	17	17	17	17	33	33	33	22
16	14	38	38	3	29	32	10	14	16	33	38	19	14	11	10000	20	20	20	31	31	31	5	5	5	25	25	25	31	31	31	27	27	27	27	27	27	30	30	30	27	27	27	27	27	27	18	18	18	24	24	24	20	20	20	20	20	20	27	27	27	16
16	33	28	40	23	22	15	11	34	19	15	40	31	34	31	20	10000	10000	10000	13	13	13	25	25	25	36	36	36	15	15	15	7	7	7	30	30	30	12	12	12	32	32	32	19	19	19	38	38	38	4	4	4	31	31	31	31	31	31	19	19	19	16
16	33	28	40	23	22	15	11	34	19	15	40	31	34	31	20	10000	10000	10000	13	13	13	25	25	25	36	36	36	15	15	15	7	7	7	30	30	30	12	12	12	32	32	32	19	19	19	38	38	38	4	4	4	31	31	31	31	31	31	19	19	19	16
16	33	28	40	23	22	15	11	34	19	15	40	31	34	31	20	10000	10000	10000	13	13	13	25	25	25	36	36	36	15	15	15	7	7	7	30	30	30	12	12	12	32	32	32	19	19	19	38	38	38	4	4	4	31	31	31	31	31	31	19	19	19	16
22	43	22	40	34	20	4	22	45	24	3	40	38	45	41	31	13	13	13	10000	10000	10000	36	36	36	40	40	40	7	7	7	8	8	8	32	32	32	2	2	2	34	34	34	17	17	17	48	48	48	10	10	10	37	37	37	37	37	37	17	17	17	22
22	43	22	40	34	20	4	22	45	24	3	40	38	45	41	31	13	13	13	10000	10000	10000	36	36	36	40	40	40	7	7	7	8	8	8	32	32	32	2	2	2	34	34	34	17	17	17	48	48	48	10	10	10	37	37	37	37	37	37	17	17	17	22
22	43	22	40	34	20	4	22	45	24	3	40	38	45	41	31	13	13	13	10000	10000	10000	36	36	36	40	40	40	7	7	7	8	8	8	32	32	32	2	2	2	34	34	34	17	17	17	48	48	48	10	10	10	37	37	37	37	37	37	17	17	17	22
20	12	42	40	3	34	37	15	10	20	38	40	20	10	9	5	25	25	25	36	36	36	10000	10000	10000	27	27	27	36	36	36	31	31	31	31	31	31	35	35	35	30	30	30	31	31	31	14	14	14	29	29	29	21	21	21	21	21	21	31	31	31	20
20	12	42	40	3	34	37	15	10	20	38	40	20	10	9	5	25	25	25	36	36	36	10000	10000	10000	27	27	27	36	36	36	31	31	31	31	31	31	35	35	35	30	30	30	31	31	31	14	14	14	29	29	29	21	21	21	21	21	21	31	31	31	20
20	12	42	40	3	34	37	15	10	20	38	40	20	10	9	5	25	25	25	36	36	36	10000	10000	10000	27	27	27	36	36	36	31	31	31	31	31	31	35	35	35	30	30	30	31	31	31	14	14	14	29	29	29	21	21	21	21	21	21	31	31	31	20
