0	15	18	16	20	24	16	16	13	17	24	9	21	18	10	12	12	12	18	18	18	21	21	21	18	18	18	15	15	15	4	4	4	0
15	10000	30	12	14	38	11	16	9	31	37	10	23	30	11	23	23	23	4	4	4	17	17	17	4	4	4	20	20	20	15	15	15	15
18	30	10000	23	26	16	33	20	23	18	9	20	18	10000	28	24	24	24	33	33	33	38	38	38	33	33	33	31	31	31	15	15	15	18
16	12	23	10000	5	35	22	5	4	31	31	7	11	23	19	27	27	27	15	15	15	28	28	28	15	15	15	28	28	28	13	13	13	16
20	14	26	5	10000	39	24	7	7	35	34	11	12	26	23	31	31	31	16	16	16	31	31	31	16	16	16	32	32	32	17	17	17	20
24	38	16	35	39	10000	38	33	35	11	10	30	33	16	32	22	22	22	42	42	42	41	41	41	42	42	42	30	30	30	24	24	24	24
16	11	33	22	24	38	10000	25	18	28	39	17	31	33	7	18	18	18	11	11	11	7	7	7	11	11	11	12	12	12	19	19	19	16
16	16	20	5	7	33	25	10000	8	30	28	9	7	20	22	28	28	28	19	19	19	32	32	32	19	19	19	30	30	30	13	13	13	16
13	9	23	4	7	35	18	8	10000	29	31	5	14	23	16	24	24	24	12	12	12	25	25	25	12	12	12	25	25	25	12	12	12	13
17	31	18	31	35	11	28	30	29	10000	18	25	32	18	23	11	11	11	34	34	34	30	30	30	34	34	34	20	20	20	18	18	18	17
24	37	9	31	34	10	39	28	31	18	10000	28	26	9	33	26	26	26	41	41	41	43	43	43	41	41	41	34	34	34	22	22	22	24
9	10	20	7	11	30	17	9	5	25	28	10000	15	20	13	20	20	20	14	14	14	23	23	23	14	14	14	21	21	21	7	7	7	9
21	23	18	11	12	33	31	7	14	32	26	15	10000	18	28	32	32	32	26	26	26	38	38	38	26	26	26	35	35	35	17	17	17	21
18	30	10000	23	26	16	33	20	23	18	9	20	18	10000	28	24	24	24	33	33	33	38	38	38	33	33	33	31	31	31	15	15	15	18
10	11	28	19	23	32	7	22	16	23	33	13	28	28	10000	13	13	13	13	13	13	11	11	11	13	13	13	10	10	10	13	13	13	10
12	23	24	27	31	22	18	28	24	11	26	20	32	24	13	10000	10000	10000	25	25	25	19	19	19	25	25	25	9	9	9	15	15	15	12
12	23	24	27	31	22	18	28	24	11	26	20	32	24	13	10000	10000	10000	25	25	25	19	19	19	25	25	25	9	9	9	15	15	15	12
12	23	24	27	31	22	18	28	24	11	26	20	32	24	13	10000	10000	10000	25	25	25	19	19	19	25	25	25	9	9	9	15	15	15	12
18	4	33	15	16	42	11	19	12	34	41	14	26	33	13	25	25	25	10000	10000	10000	17	17	17	10000	10000	10000	22	22	22	19	19	19	18
18	4	33	15	16	42	11	19	12	34	41	14	26	33	13	25	25	25	10000	10000	10000	17	17	17	10000	10000	10000	22	22	22	19	19	19	18
18	4	33	15	16	42	11	19	12	34	41	14	26	33	13	25	25	25	10000	10000	10000	17	17	17	10000	10000	10000	22	22	22	19	19	19	18
21	17	38	28	31	41	7	32	25	30	43	23	38	38	11	19	19	19	17	17	17	10000	10000	10000	17	17	17	12	12	12	24	24	24	21
21	17	38	28	31	41	7	32	25	30	43	23	38	38	11	19	19	19	17	17	17	10000	10000	10000	17	17	17	12	12	12	24	24	24	21
21	17	38	28	31	41	7	32	25	30	43	23	38	38	11	19	19	19	17	17	17	10000	10000	10000	17	17	17	12	12	12	24	24	24	21
18	4	33	15	16	42	11	19	12	34	41	14	26	33	13	25	25	25	10000	10000	10000	17	17	17	10000	10000	10000	22	22	22	19	19	19	18
18	4	33	15	16	42	11	19	12	34	41	14	26	33	13	25	25	25	10000	10000	10000	17	17	17	10000	10000	10000	22	22	22	19	19	19	18
18	4	33	15	16	42	11	19	12	34	41	14	26	33	13	25	25	25	10000	10000	10000	17	17	17	10000	10000	10000	22	22	22	19	19	19	18
15	20	31	28	32	30	12	30	25	20	34	21	35	31	10	9	9	9	22	22	22	12	12	12	22	22	22	10000	10000	10000	19	19	19	15
15	20	31	28	32	30	12	30	25	20	34	21	35	31	10	9	9	9	22	22	22	12	12	12	22	22	22	10000	10000	10000	19	19	19	15
15	20	31	28	32	30	12	30	25	20	34	21	35	31	10	9	9	9	22	22	22	12	12	12	22	22	22	10000	10000	10000	19	19	19	15
4	15	15	13	17	24	19	13	12	18	22	7	17	15	13	15	15	15	19	19	19	24	24	24	19	19	19	19	19	19	10000	10000	10000	4
4	15	15	13	17	24	19	13	12	18	22	7	17	15	13	15	15	15	19	19	19	24	24	24	19	19	19	19	19	19	10000	10000	10000	4
4	15	15	13	17	24	19	13	12	18	22	7	17	15	13	15	15	15	19	19	19	24	24	24	19	19	19	19	19	19	10000	10000	10000	4
0	15	18	16	20	24	16	16	13	17	24	9	21	18	10	12	12	12	18	18	18	21	21	21	18	18	18	15	15	15	4	4	4	0
