0	23	13	23	10	19	13	13	13	21	21	21	20	20	20	24	24	24	23	23	23	21	21	21	18	18	18	19	19	19	4	4	4	13	13	13	19	19	19	21	21	21	20	20	20	19	19	19	5	5	5	0
23	10000	32	10000	24	28	11	11	11	28	28	28	42	42	42	32	32	32	9	9	9	28	28	28	21	21	21	15	15	15	26	26	26	34	34	34	4	4	4	41	41	41	36	36	36	41	41	41	23	23	23	23
13	32	10000	32	21	14	22	22	22	32	32	32	19	19	19	34	34	34	30	30	30	32	32	32	19	19	19	23	23	23	11	11	11	16	16	16	30	30	30	9	9	9	9	9	9	17	17	17	10	10	10	13
23	10000	32	10000	24	28	11	11	11	28	28	28	42	42	42	32	32	32	9	9	9	28	28	28	21	21	21	15	15	15	26	26	26	34	34	34	4	4	4	41	41	41	36	36	36	41	41	41	23	23	23	23
10	24	21	24	10000	28	18	18	18	11	11	11	21	21	21	15	15	15	28	28	28	11	11	11	27	27	27	26	26	26	11	11	11	12	12	12	20	20	20	28	28	28	29	29	29	21	21	21	15	15	15	10
19	28	14	28	28	10000	18	18	18	39	39	39	32	32	32	42	42	42	23	23	23	39	39	39	9	9	9	14	14	14	20	20	20	28	28	28	27	27	27	20	20	20	11	11	11	30	30	30	14	14	14	19
13	11	22	11	18	18	10000	10000	10000	26	26	26	33	33	33	30	30	30	11	11	11	26	26	26	12	12	12	9	9	9	16	16	16	26	26	26	9	9	9	30	30	30	26	26	26	32	32	32	12	12	12	13
13	11	22	11	18	18	10000	10000	10000	26	26	26	33	33	33	30	30	30	11	11	11	26	26	26	12	12	12	9	9	9	16	16	16	26	26	26	9	9	9	30	30	30	26	26	26	32	32	32	12	12	12	13
13	11	22	11	18	18	10000	10000	10000	26	26	26	33	33	33	30	30	30	11	11	11	26	26	26	12	12	12	9	9	9	16	16	16	26	26	26	9	9	9	30	30	30	26	26	26	32	32	32	12	12	12	13
21	28	32	28	11	39	26	26	26	10000	10000	10000	26	26	26	5	5	5	34	34	34	10000	10000	10000	36	36	36	34	34	34	21	21	21	20	20	20	25	25	25	38	38	38	40	40	40	27	27	27	26	26	26	21
21	28	32	28	11	39	26	26	26	10000	10000	10000	26	26	26	5	5	5	34	34	34	10000	10000	10000	36	36	36	34	34	34	21	21	21	20	20	20	25	25	25	38	38	38	40	40	40	27	27	27	26	26	26	21
21	28	32	28	11	39	26	26	26	10000	10000	10000	26	26	26	5	5	5	34	34	34	10000	10000	10000	36	36	36	34	34	34	21	21	21	20	20	20	25	25	25	38	38	38	40	40	40	27	27	27	26	26	26	21
20	42	19	42	21	32	33	33	33	26	26	26	10000	10000	10000	27	27	27	43	43	43	26	26	26	36	36	36	38	38	38	17	17	17	9	9	9	39	39	39	18	18	18	26	26	26	3	3	3	23	23	23	20
20	42	19	42	21	32	33	33	33	26	26	26	10000	10000	10000	27	27	27	43	43	43	26	26	26	36	36	36	38	38	38	17	17	17	9	9	9	39	39	39	18	18	18	26	26	26	3	3	3	23	23	23	20
