0	17	12	16	19	15	18	17	6	24	15	15	15	20	20	20	29	29	29	9	9	9	19	19	19	17	17	17	17	17	17	12	12	12	14	14	14	20	20	20	13	13	13	0
17	10000	18	26	22	24	11	7	19	28	24	24	24	12	12	12	36	36	36	22	22	22	3	3	3	14	14	14	14	14	14	28	28	28	20	20	20	12	12	12	14	14	14	17
12	18	10000	28	8	6	12	14	18	13	6	6	6	14	14	14	40	40	40	21	21	21	19	19	19	25	25	25	25	25	25	21	21	21	25	25	25	14	14	14	22	22	22	12
16	26	28	10000	35	30	31	30	10	40	31	31	31	34	34	34	13	13	13	8	8	8	29	29	29	16	16	16	16	16	16	12	12	12	8	8	8	34	34	34	13	13	13	16
19	22	8	35	10000	8	13	16	25	6	8	8	8	14	14	14	48	48	48	28	28	28	22	22	22	31	31	31	31	31	31	28	28	28	32	32	32	14	14	14	29	29	29	19
15	24	6	30	8	10000	17	19	20	11	1	1	1	18	18	18	43	43	43	23	23	23	24	24	24	29	29	29	29	29	29	22	22	22	28	28	28	18	18	18	26	26	26	15
18	11	12	31	13	17	10000	4	22	18	17	17	17	3	3	3	43	43	43	25	25	25	10	10	10	22	22	22	22	22	22	29	29	29	26	26	26	3	3	3	22	22	22	18
17	7	14	30	16	19	4	10000	21	21	19	19	19	6	6	6	40	40	40	24	24	24	6	6	6	19	19	19	19	19	19	28	28	28	24	24	24	6	6	6	19	19	19	17
6	19	18	10	25	20	22	21	10000	30	21	21	21	25	25	25	23	23	23	3	3	3	22	22	22	14	14	14	14	14	14	9	9	9	9	9	9	25	25	25	10	10	10	6
24	28	13	40	6	11	18	21	30	10000	10	10	10	18	18	18	52	52	52	33	33	33	27	27	27	37	37	37	37	37	37	32	32	32	37	37	37	18	18	18	35	35	35	24
15	24	6	31	8	1	17	19	21	10	10000	10000	10000	18	18	18	43	43	43	23	23	23	24	24	24	30	30	30	30	30	30	22	22	22	29	29	29	18	18	18	27	27	27	15
15	24	6	31	8	1	17	19	21	10	10000	10000	10000	18	18	18	43	43	43	23	23	23	24	24	24	30	30	30	30	30	30	22	22	22	29	29	29	18	18	18	27	27	27	15
15	24	6	31	8	1	17	19	21	10	10000	10000	10000	18	18	18	43	43	43	23	23	23	24	24	24	30	30	30	30	30	30	22	22	22	29	29	29	18	18	18	27	27	27	15
20	12	14	34	14	18	3	6	25	18	18	18	18	10000	10000	10000	45	45	45	28	28	28	11	11	11	24	24	24	24	24	24	31	31	31	28	28	28	10000	10000	10000	24	24	24	20
20	12	14	34	14	18	3	6	25	18	18	18	18	10000	10000	10000	45	45	45	28	28	28	11	11	11	24	24	24	24	24	24	31	31	31	28	28	28	10000	10000	10000	24	24	24	20
20	12	14	34	14	18	3	6	25	18	18	18	18	10000	10000	10000	45	45	45	28	28	28	11	11	11	24	24	24	24	24	24	31	31	31	28	28	28	10000	10000	10000	24	24	24	20
29	36	40	13	48	43	43	40	23	52	43	43	43	45	45	45	10000	10000	10000	20	20	20	38	38	38	23	23	23	23	23	23	23	23	23	17	17	17	45	45	45	22	22	22	29
29	36	40	13	48	43	43	40	23	52	43	43	43	45	45	45	10000	10000	10000	20	20	20	38	38	38	23	23	23	23	23	23	23	23	23	17	17	17	45	45	45	22	22	22	29
29	36	40	13	48	43	43	40	23	52	43	43	43	45	45	45	10000	10000	10000	20	20	20	38	38	38	23	23	23	23	23	23	23	23	23	17	17	17	45	45	45	22	22	22	29
9	22	21	8	28	23	25	24	3	33	23	23	23	28	28	28	20	20	20	10000	10000	10000	24	24	24	15	15	15	15	15	15	8	8	8	8	8	8	28	28	28	11	11	11	9
9	22	21	8	28	23	25	24	3	33	23	23	23	28	28	28	20	20	20	10000	10000	10000	24	24	24	15	15	15	15	15	15	8	8	8	8	8	8	28	28	28	11	11	11	9
9	22	21	8	28	23	25	24	3	33	23	23	23	28	28	28	20	20	20	10000	10000	10000	24	24	24	15	15	15	15	15	15	8	8	8	8	8	8	28	28	28	11	11	11	9
