lb_tw,ub_tw,dur,Q1,Q2,Q3,split_rel,split_part,org_id,id,ord_qual,qual_down
0,672,0,1,1,1,0,0,0,1,0,0
0,103,62,1,1,1,0,0,1,2,5,0
95,183,43,1,1,1,0,0,7,3,1,0
256,346,72,1,1,1,0,0,18,4,2,0
513,618,24,0,0,1,0,0,20,5,12,0
163,248,55,0,0,1,0,0,23,6,15,0
0,62,73,0,0,1,0,0,31,7,13,0
248,354,37,0,1,1,0,0,33,8,6,0
0,35,32,0,1,1,0,0,36,9,10,0
256,346,72,1,1,1,0,0,39,10,19,0
31,160,63,1,1,1,0,0,42,11,18,0
331,455,50,1,1,1,0,0,45,12,16,0
1,55,36,1,1,1,0,0,46,13,20,0
592,672,37,0,1,1,0,0,50,14,9,0
0,62,93,1,1,1,1,0,6,15,3,0
0,114,41,1,1,1,1,1,6,16,3,0
0,178,52,1,1,1,1,2,6,17,3,1
206,322,87,0,1,1,1,0,14,18,8,0
206,370,39,0,1,1,1,1,14,19,8,0
206,361,48,1,1,1,1,2,14,20,8,1
0,133,89,1,1,1,1,0,17,21,4,0
0,174,48,1,1,1,1,1,17,22,4,0
0,256,41,1,1,1,1,2,17,23,4,1
321,416,102,0,0,1,1,0,25,24,14,0
321,475,43,0,0,1,1,1,25,25,14,0
321,553,40,0,0,1,1,2,25,26,14,0
367,485,88,0,0,1,1,0,29,27,11,0
367,532,41,1,1,1,1,1,29,28,11,1
367,601,47,0,0,1,1,2,29,29,11,0
102,249,94,0,1,1,1,0,43,30,7,0
102,296,47,0,1,1,1,1,43,31,7,0
102,371,47,0,1,1,1,2,43,32,7,0
367,485,88,1,1,1,1,0,48,33,17,0
367,532,41,1,1,1,1,1,48,34,17,0
367,601,47,1,1,1,1,2,48,35,17,1
0,672,0,1,1,1,0,0,0,36,0,0
