lb_tw,ub_tw,dur,Q1,Q2,Q3,split_rel,split_part,org_id,id,ord_qual,qual_down
0,704,0,1,1,1,0,0,0,1,0,0
586,723,50,1,1,1,0,0,5,2,31,0
99,160,77,1,1,1,0,0,6,3,22,0
45,187,22,0,1,1,0,0,12,4,9,0
87,224,23,0,0,1,0,0,13,5,37,0
278,421,64,0,0,1,0,0,24,6,26,0
67,244,74,0,1,1,0,0,27,7,24,0
118,230,46,0,0,1,0,0,33,8,14,0
586,723,50,0,1,1,0,0,35,9,34,0
0,80,61,1,1,1,0,0,41,10,5,0
126,288,57,0,1,1,0,0,43,11,23,0
183,308,39,0,1,1,0,0,44,12,8,0
99,160,77,1,1,1,0,0,47,13,21,0
354,493,81,1,1,1,1,0,2,14,17,0
354,534,40,1,1,1,1,1,2,15,17,0
354,612,41,1,1,1,1,2,2,16,17,0
413,504,92,0,1,1,1,0,3,17,35,0
413,552,44,1,1,1,1,1,3,18,35,1
413,548,48,0,1,1,1,2,3,19,35,0
528,645,95,0,1,1,1,0,4,20,25,0
528,692,48,0,1,1,1,1,4,21,25,0
528,772,47,0,1,1,1,2,4,22,25,0
156,276,130,1,1,1,1,0,7,23,1,0
156,321,85,1,1,1,1,1,7,24,1,1
156,341,65,1,1,1,1,2,7,25,1,0
281,363,116,1,1,1,1,0,8,26,2,0
281,394,85,1,1,1,1,1,8,27,2,0
281,507,51,1,1,1,1,2,8,28,2,0
356,523,91,0,1,1,1,0,9,29,40,0
356,573,41,0,1,1,1,1,9,30,40,0
356,643,50,1,1,1,1,2,9,31,40,1
455,586,102,0,0,1,1,0,10,32,38,0
455,647,41,0,0,1,1,1,10,33,38,0
455,647,41,0,0,1,1,2,10,34,38,0
0,50,93,0,0,1,1,0,11,35,29,0
0,100,43,0,0,1,1,1,11,36,29,0
0,172,50,0,0,1,1,2,11,37,29,0
143,231,103,0,1,1,1,0,14,38,10,0
143,293,41,0,1,1,1,1,14,39,10,0
143,371,42,0,1,1,1,2,14,40,10,0
254,341,116,0,0,1,1,0,15,41,20,0
254,397,60,1,1,1,1,1,15,42,20,1
254,480,56,0,0,1,1,2,15,43,20,0
0,47,176,0,0,1,1,0,16,44,15,0
0,68,155,0,0,1,1,1,16,45,15,0
0,182,41,0,0,1,1,2,16,46,15,0
107,267,165,0,0,1,1,0,17,47,36,0
107,341,91,1,1,1,1,1,17,48,36,1
107,358,74,0,0,1,1,2,17,49,36,0
264,379,116,1,1,1,1,0,18,50,4,0
264,419,76,1,1,1,1,1,18,51,4,0
264,514,60,1,1,1,1,2,18,52,4,0
378,468,127,1,1,1,1,0,19,53,28,0
378,521,74,1,1,1,1,1,19,54,28,0
378,601,73,1,1,1,1,2,19,55,28,1
428,596,124,1,1,1,1,0,20,56,3,0
428,618,102,1,1,1,1,1,20,57,3,0
428,757,42,1,1,1,1,2,20,58,3,1
0,69,142,1,1,1,1,0,21,59,16,0
0,165,46,1,1,1,1,1,21,60,16,0
0,194,96,1,1,1,1,2,21,61,16,1
63,200,110,0,0,1,1,0,22,62,27,0
63,257,53,1,1,1,1,1,22,63,27,1
63,332,57,0,0,1,1,2,22,64,27,0
192,318,81,0,1,1,1,0,23,65,7,0
192,359,40,0,1,1,1,1,23,66,7,0
192,437,41,1,1,1,1,2,23,67,7,1
324,471,105,0,0,1,1,0,25,68,12,0
324,532,44,1,1,1,1,1,25,69,12,1
324,614,41,0,0,1,1,2,25,70,12,0
240,436,182,1,1,1,1,0,29,71,33,0
240,485,133,1,1,1,1,1,29,72,33,0
240,648,49,1,1,1,1,2,29,73,33,0
425,563,82,0,0,1,1,0,30,74,11,0
425,604,41,0,0,1,1,1,30,75,11,0
425,604,41,1,1,1,1,2,30,76,11,1
199,281,152,0,1,1,1,0,34,77,39,0
199,371,62,0,1,1,1,1,34,78,39,0
199,442,70,0,1,1,1,2,34,79,39,0
157,261,91,0,1,1,1,0,38,80,19,0
157,311,41,0,1,1,1,1,38,81,19,0
157,381,50,1,1,1,1,2,38,82,19,1
209,302,113,0,1,1,1,0,39,83,18,0
209,347,68,0,1,1,1,1,39,84,18,0
209,449,45,1,1,1,1,2,39,85,18,1
354,493,81,0,1,1,1,0,40,86,6,0
354,534,40,0,1,1,1,1,40,87,6,0
354,612,41,1,1,1,1,2,40,88,6,1
281,363,116,0,0,1,1,0,45,89,13,0
281,394,85,0,0,1,1,1,45,90,13,0
281,507,51,0,0,1,1,2,45,91,13,0
0,44,96,1,1,1,1,0,46,92,32,0
0,88,52,1,1,1,1,1,46,93,32,1
0,96,44,1,1,1,1,2,46,94,32,0
429,527,99,0,0,1,1,0,50,95,30,0
429,583,43,1,1,1,1,1,50,96,30,1
429,629,76,0,0,1,1,2,50,97,30,0
0,704,0,1,1,1,0,0,0,98,0,0
