0	23	25	13	12	23	10	19	25	13	13	13	21	21	21	20	20	20	24	24	24	25	25	25	23	23	23	22	22	22	21	21	21	18	18	18	17	17	17	19	19	19	4	4	4	15	15	15	13	13	13	19	19	19	11	11	11	8	8	8	21	21	21	20	20	20	12	12	12	19	19	19	5	5	5	0
23	10000	41	32	21	10000	24	28	41	11	11	11	28	28	28	42	42	42	32	32	32	47	47	47	9	9	9	45	45	45	28	28	28	21	21	21	33	33	33	15	15	15	26	26	26	32	32	32	34	34	34	4	4	4	33	33	33	20	20	20	41	41	41	36	36	36	27	27	27	41	41	41	23	23	23	23
25	41	10000	14	20	41	35	14	10000	30	30	30	45	45	45	30	30	30	48	48	48	28	28	28	36	36	36	24	24	24	45	45	45	22	22	22	9	9	9	27	27	27	25	25	25	11	11	11	29	29	29	39	39	39	23	23	23	32	32	32	13	13	13	6	6	6	35	35	35	28	28	28	21	21	21	25
13	32	14	10000	13	32	21	14	14	22	22	22	32	32	32	19	19	19	34	34	34	20	20	20	30	30	30	16	16	16	32	32	32	19	19	19	7	7	7	23	23	23	11	11	11	5	5	5	16	16	16	30	30	30	10	10	10	20	20	20	9	9	9	9	9	9	21	21	21	17	17	17	10	10	10	13
12	21	20	13	10000	21	21	9	20	11	11	11	31	31	31	29	29	29	35	35	35	32	32	32	18	18	18	28	28	28	31	31	31	7	7	7	12	12	12	10	10	10	14	14	14	12	12	12	23	23	23	19	19	19	19	19	19	17	17	17	22	22	22	16	16	16	23	23	23	27	27	27	7	7	7	12
23	10000	41	32	21	10000	24	28	41	11	11	11	28	28	28	42	42	42	32	32	32	47	47	47	9	9	9	45	45	45	28	28	28	21	21	21	33	33	33	15	15	15	26	26	26	32	32	32	34	34	34	4	4	4	33	33	33	20	20	20	41	41	41	36	36	36	27	27	27	41	41	41	23	23	23	23
10	24	35	21	21	24	10000	28	35	18	18	18	11	11	11	21	21	21	15	15	15	26	26	26	28	28	28	26	26	26	11	11	11	27	27	27	26	26	26	26	26	26	11	11	11	24	24	24	12	12	12	20	20	20	15	15	15	5	5	5	28	28	28	29	29	29	4	4	4	21	21	21	15	15	15	10
19	28	14	14	9	28	28	10000	14	18	18	18	39	39	39	32	32	32	42	42	42	33	33	33	23	23	23	29	29	29	39	39	39	9	9	9	9	9	9	14	14	14	20	20	20	10	10	10	28	28	28	27	27	27	22	22	22	25	25	25	20	20	20	11	11	11	30	30	30	30	30	30	14	14	14	19
25	41	10000	14	20	41	35	14	10000	30	30	30	45	45	45	30	30	30	48	48	48	28	28	28	36	36	36	24	24	24	45	45	45	22	22	22	9	9	9	27	27	27	25	25	25	11	11	11	29	29	29	39	39	39	23	23	23	32	32	32	13	13	13	6	6	6	35	35	35	28	28	28	21	21	21	25
13	11	30	22	11	11	18	18	30	10000	10000	10000	26	26	26	33	33	33	30	30	30	37	37	37	11	11	11	35	35	35	26	26	26	12	12	12	22	22	22	9	9	9	16	16	16	21	21	21	26	26	26	9	9	9	24	24	24	13	13	13	30	30	30	26	26	26	21	21	21	32	32	32	12	12	12	13
13	11	30	22	11	11	18	18	30	10000	10000	10000	26	26	26	33	33	33	30	30	30	37	37	37	11	11	11	35	35	35	26	26	26	12	12	12	22	22	22	9	9	9	16	16	16	21	21	21	26	26	26	9	9	9	24	24	24	13	13	13	30	30	30	26	26	26	21	21	21	32	32	32	12	12	12	13
13	11	30	22	11	11	18	18	30	10000	10000	10000	26	26	26	33	33	33	30	30	30	37	37	37	11	11	11	35	35	35	26	26	26	12	12	12	22	22	22	9	9	9	16	16	16	21	21	21	26	26	26	9	9	9	24	24	24	13	13	13	30	30	30	26	26	26	21	21	21	32	32	32	12	12	12	13
21	28	45	32	31	28	11	39	45	26	26	26	10000	10000	10000	26	26	26	5	5	5	33	33	33	34	34	34	33	33	33	10000	10000	10000	36	36	36	37	37	37	34	34	34	21	21	21	35	35	35	20	20	20	25	25	25	25	25	25	15	15	15	38	38	38	40	40	40	11	11	11	27	27	27	26	26	26	21
21	28	45	32	31	28	11	39	45	26	26	26	10000	10000	10000	26	26	26	5	5	5	33	33	33	34	34	34	33	33	33	10000	10000	10000	36	36	36	37	37	37	34	34	34	21	21	21	35	35	35	20	20	20	25	25	25	25	25	25	15	15	15	38	38	38	40	40	40	11	11	11	27	27	27	26	26	26	21
21	28	45	32	31	28	11	39	45	26	26	26	10000	10000	10000	26	26	26	5	5	5	33	33	33	34	34	34	33	33	33	10000	10000	10000	36	36	36	37	37	37	34	34	34	21	21	21	35	35	35	20	20	20	25	25	25	25	25	25	15	15	15	38	38	38	40	40	40	11	11	11	27	27	27	26	26	26	21
20	42	30	19	29	42	21	32	30	33	33	33	26	26	26	10000	10000	10000	27	27	27	7	7	7	43	43	43	8	8	8	26	26	26	36	36	36	25	25	25	38	38	38	17	17	17	23	23	23	9	9	9	39	39	39	11	11	11	23	23	23	18	18	18	26	26	26	18	18	18	3	3	3	23	23	23	20
20	42	30	19	29	42	21	32	30	33	33	33	26	26	26	10000	10000	10000	27	27	27	7	7	7	43	43	43	8	8	8	26	26	26	36	36	36	25	25	25	38	38	38	17	17	17	23	23	23	9	9	9	39	39	39	11	11	11	23	23	23	18	18	18	26	26	26	18	18	18	3	3	3	23	23	23	20
20	42	30	19	29	42	21	32	30	33	33	33	26	26	26	10000	10000	10000	27	27	27	7	7	7	43	43	43	8	8	8	26	26	26	36	36	36	25	25	25	38	38	38	17	17	17	23	23	23	9	9	9	39	39	39	11	11	11	23	23	23	18	18	18	26	26	26	18	18	18	3	3	3	23	23	23	20
24	32	48	34	35	32	15	42	48	30	30	30	5	5	5	27	27	27	10000	10000	10000	33	33	33	39	39	39	34	34	34	5	5	5	40	40	40	40	40	40	39	39	39	24	24	24	38	38	38	21	21	21	29	29	29	26	26	26	19	19	19	40	40	40	42	42	42	13	13	13	28	28	28	29	29	29	24
24	32	48	34	35	32	15	42	48	30	30	30	5	5	5	27	27	27	10000	10000	10000	33	33	33	39	39	39	34	34	34	5	5	5	40	40	40	40	40	40	39	39	39	24	24	24	38	38	38	21	21	21	29	29	29	26	26	26	19	19	19	40	40	40	42	42	42	13	13	13	28	28	28	29	29	29	24
24	32	48	34	35	32	15	42	48	30	30	30	5	5	5	27	27	27	10000	10000	10000	33	33	33	39	39	39	34	34	34	5	5	5	40	40	40	40	40	40	39	39	39	24	24	24	38	38	38	21	21	21	29	29	29	26	26	26	19	19	19	40	40	40	42	42	42	13	13	13	28	28	28	29	29	29	24
25	47	28	20	32	47	26	33	28	37	37	37	33	33	33	7	7	7	33	33	33	10000	10000	10000	47	47	47	5	5	5	33	33	33	38	38	38	25	25	25	41	41	41	21	21	21	23	23	23	14	14	14	43	43	43	14	14	14	29	29	29	16	16	16	25	25	25	24	24	24	6	6	6	26	26	26	25
25	47	28	20	32	47	26	33	28	37	37	37	33	33	33	7	7	7	33	33	33	10000	10000	10000	47	47	47	5	5	5	33	33	33	38	38	38	25	25	25	41	41	41	21	21	21	23	23	23	14	14	14	43	43	43	14	14	14	29	29	29	16	16	16	25	25	25	24	24	24	6	6	6	26	26	26	25
25	47	28	20	32	47	26	33	28	37	37	37	33	33	33	7	7	7	33	33	33	10000	10000	10000	47	47	47	5	5	5	33	33	33	38	38	38	25	25	25	41	41	41	21	21	21	23	23	23	14	14	14	43	43	43	14	14	14	29	29	29	16	16	16	25	25	25	24	24	24	6	6	6	26	26	26	25
23	9	36	30	18	9	28	23	36	11	11	11	34	34	34	43	43	43	39	39	39	47	47	47	10000	10000	10000	44	44	44	34	34	34	15	15	15	29	29	29	9	9	9	27	27	27	29	29	29	36	36	36	10	10	10	34	34	34	23	23	23	39	39	39	32	32	32	31	31	31	42	42	42	22	22	22	23
