lb_tw,ub_tw,dur,Q1,Q2,Q3,split_rel,split_part,org_id,id,ord_qual,qual_down
0,651,0,1,1,1,0,0,0,1,0,0
208,357,20,0,1,1,0,0,8,2,6,0
83,211,38,1,1,1,0,0,12,3,5,0
0,86,62,1,1,1,0,0,16,4,19,0
303,463,58,1,1,1,0,0,20,5,17,0
128,280,54,0,1,1,0,0,23,6,10,0
194,295,56,0,1,1,0,0,24,7,8,0
274,391,69,0,0,1,0,0,25,8,11,0
47,204,69,0,1,1,0,0,27,9,9,0
277,454,46,1,1,1,0,0,34,10,16,0
229,345,13,0,0,1,0,0,39,11,12,0
226,354,48,0,0,1,0,0,43,12,14,0
0,105,38,0,0,1,0,0,46,13,15,0
226,354,48,1,1,1,0,0,49,14,3,0
404,572,117,1,1,1,1,0,15,15,4,0
404,616,73,1,1,1,1,1,15,16,4,0
404,700,62,1,1,1,1,2,15,17,4,1
0,59,73,1,1,1,1,0,31,18,20,0
0,96,36,1,1,1,1,1,31,19,20,1
0,168,37,1,1,1,1,2,31,20,20,0
148,206,80,1,1,1,1,0,32,21,1,0
148,247,39,1,1,1,1,1,32,22,1,0
148,245,41,1,1,1,1,2,32,23,1,1
337,461,88,1,1,1,1,0,40,24,2,0
337,505,44,1,1,1,1,1,40,25,2,0
337,578,44,1,1,1,1,2,40,26,2,1
426,578,94,0,1,1,1,0,45,27,7,0
426,634,38,1,1,1,1,1,45,28,7,1
426,707,38,0,1,1,1,2,45,29,7,0
0,164,75,1,1,1,1,0,47,30,18,0
0,201,38,1,1,1,1,1,47,31,18,0
0,275,37,1,1,1,1,2,47,32,18,0
148,206,80,0,0,1,1,0,48,33,13,0
148,247,39,0,0,1,1,1,48,34,13,0
148,245,41,0,0,1,1,2,48,35,13,0
0,651,0,1,1,1,0,0,0,36,0,0
