0	22	19	29	17	12	25	10	19	20	20	18	11	2	17	24	15	7	12	17	14	17	20	20	20	9	9	9	8	8	8	3	3	3	22	22	22	9	9	9	11	11	11	20	20	20	21	21	21	20	20	20	23	23	23	13	13	13	22	22	22	22	22	22	22	22	22	17	17	17	17	17	17	23	23	23	22	22	22	0
22	10000	38	27	7	31	23	22	38	8	9	39	22	23	32	23	35	26	22	9	35	9	10	10	10	26	26	26	15	15	15	23	23	23	41	41	41	26	26	26	14	14	14	38	38	38	27	27	27	17	17	17	43	43	43	34	34	34	42	42	42	21	21	21	41	41	41	14	14	14	28	28	28	43	43	43	43	43	43	22
19	38	10000	31	32	7	29	27	10000	33	37	15	17	19	29	27	6	19	18	35	9	35	38	38	38	23	23	23	24	24	24	17	17	17	5	5	5	23	23	23	24	24	24	25	25	25	38	38	38	39	39	39	8	8	8	9	9	9	9	9	9	40	40	40	24	24	24	36	36	36	15	15	15	8	8	8	12	12	12	19
29	27	31	10000	22	28	5	37	31	19	33	42	20	31	45	6	33	35	18	32	35	32	35	35	35	37	37	37	24	24	24	28	28	28	36	36	36	37	37	37	20	20	20	47	47	47	47	47	47	40	40	40	39	39	39	34	34	34	39	39	39	43	43	43	49	49	49	37	37	37	17	17	17	39	39	39	42	42	42	29
17	7	32	22	10000	26	18	20	32	5	12	35	16	19	30	18	30	23	16	10	30	10	14	14	14	23	23	23	10	10	10	18	18	18	36	36	36	23	23	23	8	8	8	35	35	35	27	27	27	19	19	19	38	38	38	29	29	29	37	37	37	22	22	22	38	38	38	15	15	15	22	22	22	38	38	38	39	39	39	17
12	31	7	28	26	10000	25	21	7	27	31	14	11	13	24	24	5	14	13	29	7	29	32	32	32	17	17	17	17	17	17	10	10	10	10	10	10	17	17	17	18	18	18	22	22	22	32	32	32	32	32	32	13	13	13	6	6	6	12	12	12	33	33	33	22	22	22	29	29	29	12	12	12	13	13	13	15	15	15	12
25	23	29	5	18	25	10000	33	29	15	29	38	16	27	41	2	30	31	14	28	32	28	31	31	31	33	33	33	19	19	19	24	24	24	33	33	33	33	33	33	16	16	16	44	44	44	43	43	43	36	36	36	36	36	36	31	31	31	36	36	36	39	39	39	45	45	45	32	32	32	14	14	14	36	36	36	39	39	39	25
10	22	27	37	20	21	33	10000	27	24	16	21	20	9	10	31	22	8	21	15	20	15	16	16	16	6	6	6	14	14	14	12	12	12	29	29	29	6	6	6	17	17	17	17	17	17	12	12	12	13	13	13	29	29	29	19	19	19	28	28	28	13	13	13	21	21	21	12	12	12	27	27	27	29	29	29	27	27	27	10
19	38	10000	31	32	7	29	27	10000	33	37	15	17	19	29	27	6	19	18	35	9	35	38	38	38	23	23	23	24	24	24	17	17	17	5	5	5	23	23	23	24	24	24	25	25	25	38	38	38	39	39	39	8	8	8	9	9	9	9	9	9	40	40	40	24	24	24	36	36	36	15	15	15	8	8	8	12	12	12	19
20	8	33	19	5	27	15	24	33	10000	15	37	17	22	34	15	32	26	16	14	32	14	17	17	17	27	27	27	12	12	12	21	21	21	37	37	37	27	27	27	10	10	10	39	39	39	31	31	31	23	23	23	40	40	40	31	31	31	39	39	39	26	26	26	41	41	41	19	19	19	22	22	22	40	40	40	41	41	41	20
